scout,match,robot,team,start_pos,no_show,auto_type,auto_bump,auto_climb,auto_cycles,teleop_trench,teleop_bump,num_cycles,num_cycles_tenths,endgame_climb,climb_less_than_5,inactive_strat,driver_rating,died,solo_shooting,card,comments
BS,1,R1,888,C,FALSE,3,FALSE,FALSE,8,5,1,4,0,No,FALSE,1,4,FALSE,FALSE,No Card,Very good passing and scored their full hopper every time 
AD,1,R1,1389,M,FALSE,,FALSE,FALSE,2,0,0,1,8,No,FALSE,5,3,FALSE,FALSE,No Card,
AC,1,R1,11318,M,FALSE,2,FALSE,FALSE,0,4,0,0,0,No,FALSE,2,1,FALSE,FALSE,No Card,I think it was trying to bulldoze? Very ineffective 
HR,1,R2,7886,F,FALSE,,FALSE,FALSE,0,8,0,0,0,No,FALSE,"2,4,5",3,FALSE,FALSE,No Card,"No auto, Plow broke"
BP,1,R1,1446,C,TRUE,,FALSE,FALSE,0,0,0,0,0,No,FALSE,,1,FALSE,FALSE,No Card,
AZ,1,B3,6882,F,FALSE,,FALSE,FALSE,1,2,2,1,2,No,FALSE,2,3,FALSE,FALSE,No Card,"Very small hopper, played defense pushed balls over bump and made sure other robots don»t enter their zone"
AC,2,R1,3373,F,FALSE,1,FALSE,FALSE,5,0,4,3,3,No,FALSE,6,3,FALSE,FALSE,No Card,3373 very slow intake 
HR,2,R1,2421,M,FALSE,,FALSE,FALSE,0,3,3,1,7,No,FALSE,6,2,FALSE,FALSE,No Card,No auto
BS,2,R1,4464,C,FALSE,,FALSE,FALSE,0,0,0,0,0,No,FALSE,,3,TRUE,FALSE,No Card,
BP,2,R1,2186,C,FALSE,,FALSE,FALSE,2,6,0,1,0,F,FALSE,1,3,FALSE,FALSE,No Card,Slow rate of fire and imtaking
AZ,2,B3,116,F,FALSE,,FALSE,FALSE,0,0,6,0,4,L1,TRUE,2,2,FALSE,FALSE,No Card,Robot swerve looked broken near the end
AD,2,R1,4821,M,FALSE,,FALSE,FALSE,0,0,0,0,0,No,FALSE,,1,FALSE,FALSE,No Card,
HR,3,R1,4472,F,FALSE,3,FALSE,FALSE,10,6,0,4,2,No,FALSE,"1,6",4,FALSE,FALSE,No Card,Some inaccuracy
AZ,3,B3,5243,F,FALSE,,FALSE,TRUE,2,10,0,2,4,L1,FALSE,2,2,FALSE,FALSE,No Card,
AC,3,R1,5549,C,FALSE,3,FALSE,FALSE,10,8,0,6,0,No,FALSE,"2,6",4,FALSE,FALSE,No Card,Poomfs kinda slow
BP,3,R1,3714,M,FALSE,,FALSE,FALSE,0,2,2,0,0,No,FALSE,3,2,FALSE,FALSE,No Card,"Evidently tank, couldn»t shoot, got beached a couple of times"
BS,3,R1,2537,C,FALSE,3,FALSE,FALSE,0,6,0,2,3,No,FALSE,1,4,FALSE,FALSE,No Card,Got caught under the trench during auto and had some trouble shooting in tele
AD,3,R1,2900,M,FALSE,,FALSE,FALSE,2,10,0,0,0,No,FALSE,1,3,FALSE,FALSE,No Card,"Shooter jammed, made 0 balls in tele op, gave up on shooting and started passing"
HR,4,R2,5841,M,FALSE,,FALSE,FALSE,0,0,0,0,0,No,FALSE,,1,TRUE,FALSE,No Card,No auto
BP,4,R1,1721,C,FALSE,3,FALSE,FALSE,10,5,0,5,0,No,FALSE,"3,5",4,FALSE,TRUE,No Card,Good effectiveness in many things
AW,4,R1,1727,F,FALSE,,FALSE,FALSE,0,6,4,3,5,No,FALSE,"1,6",3,FALSE,FALSE,No Card,
AD,4,R1,4638,,FALSE,,FALSE,FALSE,0,0,0,0,0,No,FALSE,,1,FALSE,FALSE,No Card,
AZ,4,B3,449,F,FALSE,3,FALSE,FALSE,10,10,0,3,8,No,FALSE,2,5,FALSE,FALSE,No Card,"Shooter inertia decreases rapidly near the end of the match, shooter had trouble "
BS,4,R1,4456,M,FALSE,,FALSE,FALSE,3,4,0,0,1,No,FALSE,4,4,FALSE,FALSE,No Card,They»re shooter wasn»t working so they played defense the whole match
HR,5,R2,2914,,TRUE,,FALSE,FALSE,0,0,0,0,0,No,FALSE,,1,FALSE,FALSE,No Card,
AW,5,R1,5353,C,FALSE,3,FALSE,FALSE,13,8,2,5,4,No,FALSE,"1,6",3,FALSE,FALSE,No Card,Bad piece security
BP,5,R1,2988,M,FALSE,,FALSE,FALSE,6,11,0,0,7,No,FALSE,"3,4,5",2,FALSE,FALSE,No Card,Played defense almost the whole time
BS,5,R1,5338,C,FALSE,3,FALSE,FALSE,0,5,2,5,0,No,FALSE,"2,6",4,FALSE,FALSE,No Card,Played a good game overall auto probably would»ve been good but crashed into trench on the way back
AD,5,R1,8590,M,FALSE,,FALSE,FALSE,0,9,0,1,0,No,FALSE,"3,4,5",5,FALSE,FALSE,No Card,Intake broke and maybe shooter broke. But the driver figured things out and played really defense
AZ,5,B3,5587,F,FALSE,,FALSE,FALSE,0,0,3,0,2,No,FALSE,6,1,FALSE,FALSE,No Card,"Only like a few balls shot most were stuck inside hopper, indexer didn»t work and made contact with alliance partner in auto"
AZ,6,B3,4472,F,FALSE,3,FALSE,FALSE,13,6,0,4,4,No,FALSE,1,3,FALSE,FALSE,No Card,
BS,6,R1,4821,M,FALSE,,FALSE,FALSE,4,4,3,0,0,No,FALSE,"3,4",4,FALSE,FALSE,No Card,Very small hopper
BP,6,R1,2912,M,FALSE,,FALSE,FALSE,0,0,5,0,0,No,FALSE,3,1,FALSE,FALSE,No Card,"Struggled to get over bump, didn»t shoot at all"
AD,6,R1,11211,C,FALSE,,FALSE,FALSE,0,0,1,0,1,No,FALSE,,1,TRUE,FALSE,No Card,"Died before first inactive period, dangling wires, cardboard hopper held together with tape."
AW,6,R1,4464,F,FALSE,,FALSE,FALSE,3,2,0,0,3,No,FALSE,,2,FALSE,FALSE,No Card,"Tried to intake during inactive, but mostly just slowly spun around"
HR,6,R2,6239,C,FALSE,3,FALSE,FALSE,5,6,0,0,5,No,FALSE,"2,6",2,FALSE,FALSE,No Card,"Inaccurate auto, shooter malfunction"
AW,7,R1,2537,F,FALSE,"3,1",FALSE,FALSE,15,6,0,5,3,No,FALSE,"1,6",3,FALSE,FALSE,No Card,
HR,7,R2,888,F,FALSE,,FALSE,FALSE,10,7,3,4,0,No,FALSE,"1,6",4,FALSE,FALSE,No Card,Inaccurate auto
BP,7,R1,5549,M,FALSE,,FALSE,FALSE,4,2,1,3,6,No,FALSE,"5,6",3,FALSE,TRUE,No Card,Net makes trench slightly inconsistent 
AD,7,R1,3373,C,FALSE,1,FALSE,FALSE,7,0,6,4,4,No,FALSE,"1,5",4,FALSE,FALSE,No Card,
BS,7,R1,6882,M,FALSE,,FALSE,FALSE,0,4,2,2,2,No,FALSE,2,1,FALSE,FALSE,No Card,Small hopper didn»t really score that much
AZ,7,R1,2900,F,FALSE,,FALSE,FALSE,4,8,0,1,0,No,FALSE,6,1,FALSE,FALSE,No Card,"Unable to shot any balls, blocked their own teammate and had trouble moving around "
AZ,8,R1,5841,C,FALSE,,FALSE,FALSE,0,0,0,0,0,No,FALSE,,1,FALSE,FALSE,No Card,"Just driving no shooting, just drivetrain not even moving it didn»t connect so it didn»t do anything but block bump"
BS,8,R1,2421,F,FALSE,,FALSE,FALSE,0,3,0,1,3,No,FALSE,,3,FALSE,FALSE,No Card,
HR,8,R2,2186,F,FALSE,,FALSE,FALSE,3,9,0,0,0,No,FALSE,2,3,FALSE,FALSE,No Card,Intake malfunction 
AD,8,R1,2988,M,FALSE,,FALSE,FALSE,7,8,0,2,0,No,FALSE,,3,FALSE,FALSE,No Card,
BP,8,R1,5243,F,FALSE,,FALSE,FALSE,2,4,2,2,1,L1,FALSE,"6,5",2,FALSE,TRUE,No Card,Has some trouble intaking to capacity
AW,8,R1,3714,M,FALSE,,FALSE,FALSE,5,7,1,0,5,No,FALSE,2,2,FALSE,FALSE,No Card,Shot some of the fuel it intaked as soon as it intaked it
AW,9,R1,1446,,TRUE,,FALSE,FALSE,0,0,0,0,0,No,FALSE,,1,FALSE,FALSE,No Card,
AZ,9,R1,2912,M,FALSE,,FALSE,FALSE,0,0,1,1,0,No,FALSE,,1,FALSE,FALSE,No Card,"No strategy, swerve looked broken, no auto, Kitbot, very bad movement"
HR,9,R2,4456,C,FALSE,,FALSE,FALSE,5,7,2,0,2,No,FALSE,"2,6",2,FALSE,FALSE,No Card,Lost battery
BP,9,R1,8590,F,FALSE,,FALSE,FALSE,0,0,0,0,8,No,FALSE,,1,FALSE,FALSE,No Card,"Didn»t leave AZ, very inconsistent shooting"
BS,9,R1,1731,F,FALSE,3,FALSE,FALSE,6,5,0,3,2,No,FALSE,1,4,FALSE,FALSE,No Card,"Passed to human player a lot, good passing, scored most of their hopper when they shot"
AD,9,R1,5338,C,FALSE,3,FALSE,FALSE,0,9,0,8,0,No,FALSE,"1,5",5,FALSE,TRUE,No Card,
HR,10,R2,7886,F,FALSE,,FALSE,FALSE,0,5,0,0,0,No,FALSE,2,1,FALSE,FALSE,No Card,"No auto, only bulldozing"
AD,10,R1,4638,C,FALSE,,FALSE,FALSE,0,3,6,0,0,No,FALSE,"1,3",3,FALSE,FALSE,No Card,"A stop, no shoot"
AZ,10,R1,1389,M,FALSE,,FALSE,FALSE,2,0,4,1,5,No,FALSE,,1,FALSE,FALSE,No Card,
BS,10,R1,5353,F,FALSE,3,FALSE,FALSE,3,4,0,3,0,No,FALSE,1,4,FALSE,FALSE,No Card,Played a good game but teammates kinda sold
BP,10,R1,6239,C,FALSE,3,FALSE,FALSE,4,4,0,1,7,No,FALSE,5,2,FALSE,TRUE,No Card,Bps is low and shooting is inaccurate 
AW,10,R3,2914,M,FALSE,,FALSE,FALSE,3,0,0,0,0,No,FALSE,,1,TRUE,FALSE,No Card,"Twitched a little bit at the beginning of teleop, but didn»t manage to really move away from their original spot. Couldn»t shoot or intake, the only balls they held were preloaded ones"
AZ,11,R1,11211,F,FALSE,,FALSE,FALSE,0,0,1,0,6,No,FALSE,,1,FALSE,FALSE,No Card,Didn»t do anything but move into neutral zone 
BS,11,R1,449,F,FALSE,3,FALSE,FALSE,1,6,0,6,5,No,FALSE,1,5,FALSE,FALSE,No Card,Very good driving if we get out auto to work better we»d be insane
HR,11,R2,116,F,FALSE,,FALSE,FALSE,5,0,9,3,0,L1,FALSE,6,3,FALSE,FALSE,No Card,
BP,11,R1,11318,M,FALSE,,FALSE,FALSE,4,12,0,3,2,No,FALSE,"5,3",3,FALSE,TRUE,No Card,
AW,11,R3,1727,C,FALSE,3,FALSE,FALSE,8,8,1,4,0,No,FALSE,6,4,TRUE,FALSE,No Card,"Died towards the very end of the match. Inaccurate auto, shot past the hub."
AD,11,R1,5587,C,FALSE,,FALSE,FALSE,3,0,0,1,4,No,FALSE,5,2,FALSE,FALSE,No Card,"Shooter seemed to be malfunctioning in the early match, collected but didn»t shoot more than 2"
HR,12,R2,5549,F,FALSE,,FALSE,FALSE,10,5,1,3,5,No,FALSE,"1,6,5",4,FALSE,FALSE,No Card,
AD,12,R1,6882,M,FALSE,,FALSE,FALSE,5,2,8,0,7,No,FALSE,"3,1",3,FALSE,FALSE,No Card,
BS,12,R1,1731,F,FALSE,3,FALSE,FALSE,3,6,0,1,7,No,FALSE,1,4,FALSE,FALSE,No Card,They played good but they got heavily defended mid match which affected them a lot 
SBS,12,R1,8590,C,FALSE,,FALSE,FALSE,0,5,0,0,0,No,FALSE,2,2,FALSE,FALSE,No Card,"No clue what they were even doing, seemed lost lwk"
BP,12,R1,5243,C,FALSE,,FALSE,TRUE,4,5,1,3,4,No,FALSE,5,3,FALSE,TRUE,No Card,"Seemed to be manually aligning even with turret, some inaccuracy"
AW,12,R3,4821,M,FALSE,,FALSE,FALSE,5,0,4,0,0,No,FALSE,4,4,FALSE,FALSE,No Card,"Couldn»t shoot, Played good defense the entire match, especially against 1731"
AW,13,R3,5841,,TRUE,,FALSE,FALSE,0,0,0,0,0,No,FALSE,,1,FALSE,FALSE,No Card,
BS,13,R1,1446,,TRUE,,FALSE,FALSE,0,0,0,0,0,No,FALSE,,1,FALSE,FALSE,No Card,
HR,13,R2,2900,F,FALSE,,FALSE,FALSE,5,11,0,1,3,No,FALSE,"5,2,6",2,FALSE,FALSE,No Card,
SBS,13,R1,3373,C,FALSE,1,FALSE,FALSE,6,1,3,3,0,No,FALSE,"6,2",4,FALSE,FALSE,No Card,
BP,13,R1,5353,C,FALSE,3,FALSE,FALSE,7,8,0,3,6,No,FALSE,"6,5",3,FALSE,TRUE,No Card,The start of each volley is far too low
AD,13,R1,6239,F,FALSE,,FALSE,FALSE,0,8,0,3,9,No,FALSE,"1,5",2,FALSE,FALSE,No Card,Had big stockpile but didn»t intake from stock
AW,14,R3,7886,,TRUE,,FALSE,FALSE,0,0,0,0,0,No,FALSE,,1,FALSE,FALSE,No Card,
HR,14,R1,2421,M,FALSE,,FALSE,FALSE,0,3,0,1,1,No,FALSE,6,3,FALSE,FALSE,No Card,
BP,14,R1,449,C,FALSE,3,FALSE,FALSE,0,7,0,0,0,No,FALSE,3,2,FALSE,FALSE,No Card,Intake broke off
AD,14,B1,2186,F,FALSE,,FALSE,FALSE,2,10,0,2,3,L1,FALSE,"6,2",3,FALSE,FALSE,No Card,
BS,14,R1,888,C,FALSE,3,FALSE,FALSE,0,4,0,3,5,No,FALSE,1,5,FALSE,FALSE,No Card,
AD,15,B1,116,F,FALSE,,FALSE,FALSE,2,0,4,0,0,No,FALSE,,1,TRUE,FALSE,No Card,
HR,15,R2,4472,C,FALSE,,FALSE,FALSE,7,3,1,3,0,No,FALSE,"6,1",3,FALSE,FALSE,No Card,Beached on fuel
AW,15,R3,2988,M,FALSE,,FALSE,FALSE,5,4,0,1,4,No,FALSE,2,3,FALSE,FALSE,No Card,"Slow robot, managed to get an alliance member unbeached, not very accurate shooter."
BS,15,R1,4456,M,FALSE,,FALSE,FALSE,4,4,1,3,0,No,FALSE,1,1,FALSE,FALSE,No Card,
AY,15,R1,5338,C,FALSE,3,FALSE,FALSE,0,8,3,7,3,No,FALSE,"2,6",4,FALSE,FALSE,No Card,
BS,16,R1,3714,F,FALSE,,FALSE,FALSE,0,0,2,0,0,No,FALSE,,3,FALSE,FALSE,No Card,"Didn»t make a single fuel, slow"
HR,16,R2,2912,C,FALSE,,FALSE,FALSE,5,0,0,0,0,No,FALSE,2,1,FALSE,FALSE,No Card,"Shooter malfunction, possibly drivetrain malfunction "
AY,16,R1,4464,C,FALSE,,FALSE,FALSE,0,2,0,0,0,No,FALSE,2,1,FALSE,FALSE,No Card,Moved very slowly 
AD,16,B1,11318,M,FALSE,,FALSE,FALSE,2,8,0,3,6,No,FALSE,6,3,FALSE,TRUE,No Card,
RX,16,R3,4638,F,FALSE,,FALSE,TRUE,0,1,1,0,0,No,FALSE,2,2,FALSE,FALSE,No Card,Outake and intakes appeared broken 
BS,17,R1,4821,M,FALSE,,FALSE,FALSE,0,1,3,0,9,No,FALSE,4,3,FALSE,FALSE,No Card,Shooter is very slow 
AY,17,R1,2186,F,FALSE,,FALSE,FALSE,5,4,0,0,2,L1,FALSE,"2,6",3,FALSE,FALSE,No Card,Fed to HP a lot
HR,17,R2,11211,F,FALSE,,FALSE,FALSE,0,0,5,0,0,No,FALSE,"4,5,2",3,FALSE,FALSE,No Card,
AW,17,R1,1727,F,FALSE,3,FALSE,FALSE,10,5,0,4,0,No,FALSE,5,3,TRUE,FALSE,No Card,"Died in the last 30s or so, was susceptible to the defense being played 4821"
RX,17,R3,5353,C,FALSE,3,FALSE,FALSE,2,3,0,3,5,No,FALSE,"2,6",3,FALSE,FALSE,No Card,"Passed a lot to human player, very low hopper capacity"
AD,17,B1,2537,C,FALSE,"3,1",FALSE,FALSE,13,11,0,0,5,No,FALSE,"2,4,5,3",4,FALSE,FALSE,No Card,"Really good auto, I think their intake broke?"
AY,18,R1,1731,F,FALSE,3,FALSE,FALSE,7,4,1,3,2,No,FALSE,"2,6",5,FALSE,FALSE,No Card,449 played hard defense on them
AD,18,B1,6239,M,FALSE,,FALSE,FALSE,4,8,0,0,1,No,FALSE,4,3,FALSE,FALSE,No Card,
HR,18,R2,5338,M,FALSE,,FALSE,FALSE,3,5,1,2,6,No,FALSE,"6,2",4,FALSE,FALSE,No Card,
AW,18,R1,449,C,FALSE,3,FALSE,FALSE,10,6,0,1,0,No,FALSE,3,4,FALSE,FALSE,No Card,"Intake broke quickly, played defense on the blue alliance"
RX,18,R3,4472,F,FALSE,3,FALSE,FALSE,9,2,0,3,7,No,FALSE,6,4,TRUE,TRUE,No Card,Disconnected mid match for like 10 seconds
BS,18,R1,5549,C,FALSE,3,FALSE,FALSE,4,1,0,2,5,No,FALSE,,4,FALSE,FALSE,No Card,
AY,19,R1,3373,C,FALSE,1,FALSE,FALSE,1,0,1,2,4,No,FALSE,"2,6",2,FALSE,FALSE,No Card,
BS,19,R1,4464,F,FALSE,,FALSE,FALSE,0,3,1,0,0,No,FALSE,1,3,FALSE,FALSE,No Card,
AD,19,B1,5841,M,FALSE,,FALSE,FALSE,0,8,1,0,0,No,FALSE,2,3,FALSE,FALSE,No Card,Just a drive train
HR,19,R2,116,F,FALSE,,FALSE,FALSE,4,0,6,1,4,No,FALSE,"2,6",3,FALSE,FALSE,No Card,Attempted climb
AW,19,R1,1389,M,FALSE,,FALSE,FALSE,3,0,3,0,5,No,FALSE,6,2,FALSE,FALSE,No Card,"Poor intake, not great herding"
RX,19,R3,7886,C,FALSE,,FALSE,FALSE,0,4,2,0,0,No,FALSE,2,3,FALSE,FALSE,No Card,Did not intake 
AZ,20,R1,2914,,TRUE,,FALSE,FALSE,0,0,0,0,0,No,FALSE,,1,FALSE,FALSE,No Card,
AW,20,R1,8590,,TRUE,,FALSE,FALSE,0,0,0,0,0,No,FALSE,,1,FALSE,FALSE,No Card,
BS,20,R1,2537,C,FALSE,3,FALSE,FALSE,8,3,0,3,4,No,FALSE,6,5,FALSE,FALSE,No Card,
HR,20,R2,2900,C,FALSE,,FALSE,FALSE,0,9,1,1,0,No,FALSE,"2,6",3,FALSE,FALSE,No Card,Indexer/shooter malfunction 
RX,20,R3,2988,M,FALSE,,FALSE,FALSE,6,6,2,2,7,No,FALSE,6,3,FALSE,FALSE,No Card,"Passed to human players, seems like tank drive, weird turns"
AW,21,R1,1446,,TRUE,,FALSE,FALSE,0,0,0,0,0,No,FALSE,,1,FALSE,FALSE,No Card,
KO,21,B1,888,C,FALSE,3,FALSE,FALSE,9,8,2,3,3,No,FALSE,1,4,FALSE,FALSE,No Card,
AZ,21,R1,4456,F,FALSE,,FALSE,FALSE,1,5,0,1,5,No,FALSE,6,1,FALSE,FALSE,No Card,Shooter is broken
