scout,match,robot,team,start_pos,auto_type,auto_bump,auto_climb,auto_cycles,teleop_trench,teleop_bump,num_cycles,num_cycles_tenths,endgame_climb,climb_less_than_5,inactive_strat,driver_rating,problems,card,comments,,
BP,15,B1,5243,F,,FALSE,TRUE,2,3,0,2,5,No,FALSE,"6,2",3,,No Card,Slow intake rate,,
JD,15,R2,10004,M,,FALSE,FALSE,0,3,1,3,3,No,FALSE,"6,1",3,,No Card,Had shooter problems,,
AD,15,B2,11425,M,,FALSE,FALSE,10,5,1,0,0,No,FALSE,"2,5,4",3,,No Card,,,
BP,16,B1,5724,F,,FALSE,FALSE,0,6,0,0,3,No,FALSE,2,1,1,No Card,"Couldn41391t index, then died",,
SBS,16,R1,11415,C,3,FALSE,FALSE,5,5,1,6,2,No,FALSE,"2,1",5,,No Card,Elite team,,
JD,16,R2,339,F,,FALSE,FALSE,0,10,0,1,0,No,FALSE,"2,3",1,,No Card,,,
AZ,16,B2,2377,C,3,FALSE,FALSE,1,8,0,4,5,No,FALSE,2,3,,No Card,Shooting troubles,,
AW,16,B3,1895,M,,FALSE,FALSE,8,2,6,3,0,L1,TRUE,"2,6,4",3,,No Card,Played some not very effectual defense,,
AM,16,R3,8590,,3,FALSE,FALSE,3,12,0,0,0,No,FALSE,2,3,,No Card,,,
AW,17,B3,836,F,,FALSE,FALSE,4,3,3,0,0,No,FALSE,"4,5",4,,No Card,Played some good defense,,
SBS,17,R1,401,F,3,TRUE,FALSE,6,4,1,0,4,No,FALSE,,2,,No Card,Got defended and folded ,,
BP,17,B1,9033,C,,FALSE,FALSE,0,2,0,3,3,No,FALSE,"6,2",2,,No Card,Missed about half of each small hopperload,,
AM,17,R3,4541,M,1,FALSE,FALSE,5,7,1,1,0,No,FALSE,2,3,,No Card,,,
JD,17,R2,4099,F,3,TRUE,FALSE,9,4,3,2,5,No,FALSE,"6,3",5,,No Card,Defense was played against them,,
