"scout","match","robot","team","start_pos","auto_type","auto_bump","auto_climb","auto_cycles","teleop_trench","teleop_bump","num_cycles","num_cycles_tenths","endgame_climb","climb_less_than_5","inactive_strat","driver_rating","problems","card","comments","auto_climb.1","endgame_climb.1"
"SBS",26,"B3",1023,"M",5,FALSE,FALSE,9,6,4,7,2,"No",FALSE,16,5,NA,"No Card","OoO",NA,NA
"AZ",26,"R1",6429,"M",NA,FALSE,FALSE,0,5,1,1,5,"No",FALSE,5,1,NA,"No Card","Missed the bump bad driving also blocked own teammate41391s",NA,NA
"HR",26,"R2",5653,"F",3,FALSE,FALSE,10,10,0,6,0,"No",FALSE,63,2,NA,"No Card",NA,NA,NA
"CR",26,"R3",1756,"C",5,FALSE,FALSE,15,6,7,5,0,"No",FALSE,31,1,"1","No Card","Died during endgame",NA,NA
"AD",27,"B1",11417,"M",NA,FALSE,FALSE,0,3,1,0,3,"No",FALSE,14,2,NA,"No Card","Kitbot",NA,NA
"AW",27,"B2",16,"F",5,FALSE,FALSE,0,2,5,3,0,"No",FALSE,26,3,"7","No Card","Slowwwww shooter",NA,NA
"SBS",27,"B3",614,"C",4,TRUE,FALSE,10,0,8,4,0,"No",FALSE,3,3,NA,"No Card",NA,NA,NA
"AZ",27,"R1",2556,"F",3,FALSE,FALSE,10,10,0,3,6,"No",FALSE,63,3,NA,"No Card","Fixed. shooter so driving has issues bc shooteris fixed",NA,NA
"HR",27,"R2",8069,"M",NA,FALSE,FALSE,2,7,2,0,4,"No",FALSE,426,2,NA,"No Card","Their index prolly broke and their auto wiggles the robot a little",NA,NA
"CR",27,"R3",3243,"C",5,FALSE,FALSE,6,8,1,3,0,"No",FALSE,6,3,NA,"No Card","Their swerve broke partway through, but fixed itself 30s later",NA,NA
"AD",28,"B1",9496,"C",34,TRUE,FALSE,15,8,4,7,4,"No",FALSE,16,4,NA,"No Card","Broke intake slamming into hub, quickly fixed",NA,NA
"AW",28,"B2",6985,"F",6,TRUE,FALSE,8,0,12,1,5,"No",FALSE,4,4,NA,"No Card","Played a lot of pretty solid defense",NA,NA
"SBS",28,"B3",8119,"M",NA,FALSE,FALSE,1,4,6,4,6,"No",FALSE,1346,4,NA,"No Card","Qwertyuiop",NA,NA
"HR",28,"R2",4450,"C",5,FALSE,FALSE,10,4,2,3,4,"No",FALSE,16,3,NA,"No Card","They were defended",NA,NA
"CR",28,"R3",6528,"M",1,FALSE,FALSE,5,10,0,3,0,"No",FALSE,6,4,NA,"No Card","N/A",NA,NA
"JJ",29,"B1",5895,"F",65,TRUE,FALSE,13,0,0,3,5,"No",FALSE,16,2,NA,"No Card","Really bad indexing",NA,NA
"CC",29,"B2",3082,"M",NA,FALSE,FALSE,0,2,0,0,0,"No",FALSE,3,1,"1","No Card","Ded",NA,NA
"FL",29,"B3",1816,"C",3,FALSE,FALSE,9,10,0,2,4,"No",FALSE,36,3,NA,"No Card",NA,NA,NA
"MF",29,"R1",2231,"F",3,TRUE,FALSE,10,2,4,8,3,"No",FALSE,16,3,NA,"No Card",NA,NA,NA
"HR",29,"R2",2054,"M",1,FALSE,FALSE,5,0,10,0,0,"No",FALSE,13,3,NA,"No Card","Slow bump, passed the entire time from both the neutral and opposite alliance zone",NA,NA
"missing",29,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA
"JJ",30,"B1",1391,"M",1,FALSE,FALSE,5,8,3,5,4,"No",FALSE,16,3,NA,"No Card","Performed decently against defense",NA,NA
"CC",30,"B2",364,"F",5,FALSE,FALSE,14,5,1,4,0,"No",FALSE,61,3,NA,"No Card","Fish",NA,NA
"FL",30,"B3",1506,"C",3,TRUE,FALSE,12,7,5,6,7,"No",FALSE,163,5,NA,"No Card","Super Good but small hopper makes them run many cycles",NA,NA
"AD",30,"R1",4020,"C",52,FALSE,FALSE,10,9,3,7,7,"No",FALSE,16,3,NA,"No Card","uwu",NA,NA
"CR",30,"R2",1403,"F",3,FALSE,FALSE,15,5,2,4,0,"No",FALSE,61,4,NA,"No Card","Hopper was decapitated during shift 3",NA,NA
"Rs",30,"R3",2635,"M",NA,FALSE,FALSE,2,0,3,0,0,"No",FALSE,4,2,"2","No Card","Hub auto. 1 tower foul while defending.",NA,NA
"JJ",31,"B1",7769,"F",56,TRUE,FALSE,14,8,2,6,9,"No",FALSE,16,3,"6","No Card","CA1 ggs",NA,NA
"FL",31,"B3",3937,"M",1,FALSE,FALSE,8,10,0,4,4,"No",FALSE,634,4,NA,"No Card","I kinda lost its position multiple times mb",NA,NA
"AD",31,"R1",11242,"M",NA,FALSE,FALSE,0,0,4,0,0,"No",FALSE,4,2,NA,"No Card","Climbed in auto",NA,NA
"CR",31,"R2",51,"F",3,FALSE,FALSE,5,7,0,6,0,"No",FALSE,163,1,NA,"No Card","They don41391t seem to be able to shoot on move while intaking",NA,NA
"Rs",31,"R3",2491,"C",6,TRUE,FALSE,13,0,9,5,2,"No",FALSE,3,4,NA,"No Card",NA,NA,NA
"JJ",32,"B1",2393,"C",34,TRUE,FALSE,10,5,1,2,8,"No",FALSE,NA,2,"6","No Card","accuracy affected by browniuts",NA,NA
"CC",32,"B2",7840,"M",NA,FALSE,FALSE,0,0,4,4,0,"No",FALSE,2,3,NA,"No Card","Fish",NA,NA
"Rs",32,"B3",6487,"F",56,TRUE,FALSE,1,6,3,3,5,"No",FALSE,1,4,NA,"No Card","Intake didn41391t deploy during auto. Got defended hard.",NA,NA
"AD",32,"R1",6665,"M",NA,FALSE,FALSE,0,3,0,0,0,"No",FALSE,4,4,NA,"No Card","Really good defense, did not intake or shoot",NA,NA
"CR",32,"R2",4469,"F",3,FALSE,FALSE,10,4,10,5,7,"No",FALSE,6134,2,NA,"No Card","N/A",NA,NA
"aaFL",32,"R3",1533,"C",NA,FALSE,FALSE,0,12,0,0,0,"No",FALSE,2,2,NA,"No Card","Didn41391t shoot at all no auto and just bulldoze entire time can41391t get over bump easily",NA,NA
"JB",33,"B1",11244,"M",2,FALSE,FALSE,7,2,7,0,0,"No",FALSE,4,2,"1","No Card","Shooter broke like first thing",NA,NA
"FeeSH-E",33,"B2",9572,"F",5,FALSE,FALSE,10,3,2,2,7,"No",FALSE,16,2,NA,"No Card","Fish",NA,NA
"Rs",33,"B3",3931,"C",34,TRUE,FALSE,9,0,2,4,1,"No",FALSE,13,3,"2","No Card","Auto got stuck on trench",NA,NA
"AD",33,"R1",6201,"M",1,FALSE,FALSE,6,2,0,0,0,"No",FALSE,4,3,NA,"No Card","Climbed in auto",NA,NA
"CR",33,"R2",4125,"F",3,FALSE,FALSE,5,9,3,3,0,"No",FALSE,31,4,NA,"No Card","Intake seemed to have broken during endgame",NA,NA
"FL",33,"R3",10991,"C",5,FALSE,FALSE,4,6,0,1,5,"No",FALSE,6,3,"1","No Card","Died after halfway",NA,NA
"LJ",34,"B1",5577,"F",5,FALSE,FALSE,1,8,0,2,4,"No",FALSE,2361,3,NA,"No Card","Hood of shooter. clips trench. Very slow shooter from mid far range.Lots of fuel stockpiling, maybe had. anoutpost auto but didn41391t collect any balls.",NA,NA
"FeeSH-E",34,"B2",11214,"M",NA,FALSE,FALSE,0,6,0,1,3,"No",FALSE,2,1,NA,"No Card","Not fish",NA,NA
"Rs",34,"B3",4087,"C",3,FALSE,FALSE,0,5,1,1,4,"No",FALSE,4,3,NA,"No Card","Two tower fouls. Mostly def.",NA,NA
"AD",34,"R1",449,"F",34,TRUE,FALSE,20,8,2,2,0,"No",FALSE,61,4,NA,"No Card","Ball got stuck, cooked shooter and hopper",NA,NA
"CR",34,"R2",7915,"C",56,TRUE,FALSE,4,7,3,5,0,"No",FALSE,61,3,NA,"No Card","Beached during auto",NA,NA
"FL",34,"R3",8858,"M",12,FALSE,FALSE,9,10,1,5,6,"No",FALSE,316,4,NA,"No Card","Pretty good",NA,NA
"Rs",35,"B3",484,"F",5,FALSE,FALSE,0,4,2,4,2,"No",FALSE,13,4,NA,"No Card","Auto collision with partner.",NA,NA
"AD",35,"R1",4322,"F",5,FALSE,FALSE,12,14,2,5,0,"No",FALSE,316,3,"1","No Card","Died mid match, can back to life partway through",NA,NA
"FL",35,"R3",3544,"C",5,FALSE,FALSE,0,4,0,0,0,"No",FALSE,1,2,"1","No Card","Shooter not facing right on auto and died after collison woke up and just passed",NA,NA
NA,35,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA
NA,35,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA
NA,35,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA
"JB",36,"B1",7183,"M",NA,FALSE,FALSE,2,9,1,5,8,"No",FALSE,34,4,NA,"No Card",NA,NA,NA
"ADK",36,"B2",2468,"F",56,TRUE,FALSE,4,2,5,7,6,"No",FALSE,NA,3,NA,"No Card",NA,NA,NA
"ADK",36,"B3",2590,"C",34,TRUE,FALSE,20,0,6,3,4,"No",FALSE,16,3,NA,"No Card",NA,NA,NA
"Rs",36,"R1",8229,"C",56,TRUE,FALSE,6,6,7,5,0,"No",FALSE,13,4,NA,"No Card","Mid accuracy",NA,NA
"LJ",36,"R2",931,"M",NA,FALSE,FALSE,1,0,2,0,0,"No",FALSE,42,2,NA,"No Card","Fast auto climb and fairly fast dismount. Intake didn41391t deploy until 50 seconds left and it was quickly retracted. Spent a lot of time meandering in NZ, had an ok block to slightly slow opponent returning to OZ and herded a little under the trench",NA,NA
"FL",36,"R3",1690,"F",3,TRUE,FALSE,19,9,6,8,2,"No",FALSE,136,5,NA,"No Card","Y41391all I really don41391t know how to count orbit shots but I hope this was close",NA,NA
"JB",37,"B1",10980,"C",3,TRUE,FALSE,0,2,4,5,7,"No",FALSE,16,3,NA,"No Card","Didn41391t do a ton during. inactive,but did some passing",NA,NA
"ADK",37,"B2",7415,"M",4,FALSE,FALSE,13,0,10,4,6,"No",FALSE,NA,2,NA,"No Card",NA,NA,NA
"ADK",37,"B3",5913,"F",56,TRUE,FALSE,18,6,4,1,0,"No",FALSE,4216,4,NA,"No Card","I think the shooter broke during a collision bc after that they stopped shooting and started feeding hp",NA,NA
"Rs",37,"R1",7415,NA,6,FALSE,FALSE,10,0,10,4,0,"No",FALSE,3,3,NA,"No Card","Bes||no",NA,NA
"LJ",37,"R2",6911,"M",1,FALSE,FALSE,1,10,0,3,2,"No",FALSE,316,3,NA,"No Card","Fairly fast pass. on the move, many passes were blocked by the hub net.Very minimal SOTM, liked sittting in DS corner and between depot and tower and just unloading that fuel cache from afar. Was blocked solidly by 5813 from leaving AZ once",NA,NA
"GK",37,"R3",8159,NA,3,FALSE,FALSE,13,1,1,3,4,"No",FALSE,1,3,NA,"No Card",NA,NA,NA
"JB",38,"B1",10034,"M",1,FALSE,FALSE,4,0,6,4,6,"No",FALSE,1,3,NA,"No Card","Passing was pretty good but their movements were low-key slow",NA,NA
"ADK",38,"B2",1506,"M",5,FALSE,FALSE,10,4,5,5,5,"No",FALSE,NA,1,"42","No Card","Decent passing",NA,NA
"ADK",38,"B3",16,"F",NA,FALSE,FALSE,0,4,6,3,0,"No",FALSE,62,3,"27","No Card",NA,NA,NA
"FeeSH-E",38,"R1",1506,"C",3,FALSE,FALSE,10,2,5,4,0,"No",FALSE,NA,2,NA,"No Card","Fish",NA,NA
"LJ",38,"R2",2813,"F",3,TRUE,FALSE,19,12,10,6,1,"No",FALSE,316,5,NA,"No Card","Very aggressive consistent. cycler during active. Net extends like 3 ball.  above hopper wh. n full. Shotfrom midrange andcouldpass from edge of NZ",NA,NA
"KO",38,"R3",4766,"C",6,TRUE,FALSE,0,7,2,1,0,"No",FALSE,NA,2,NA,"No Card","Played defense, they have a climber but they didn41391t extend it properly",NA,NA
"JB",39,"B1",5653,"F",5,FALSE,FALSE,1,4,3,4,7,"No",FALSE,3,3,"1","No Card","Reconnected after like 40 seconds",NA,NA
"AW",39,"B2",5895,"C",34,TRUE,FALSE,6,4,8,5,0,"No",FALSE,16,4,NA,"No Card","Shooting while moving accuracy is iffy",NA,NA
"Big AD",39,"B3",1403,"M",34,FALSE,FALSE,13,11,3,6,0,"No",FALSE,126,4,NA,"No Card","(o v o)",NA,NA
"FeeSH-E",39,"R1",5895,"C",3,FALSE,FALSE,2,5,5,0,0,"No",FALSE,136,3,NA,"No Card","Fish",NA,NA
"LJ",39,"R2",8069,"M",NA,FALSE,FALSE,1,0,3,0,8,"No",FALSE,NA,1,"1","No Card","Died after going over bump for the third time with about 1:50 left.",NA,NA
"KO",39,"R3",3937,"C",56,TRUE,FALSE,9,6,5,5,3,"No",FALSE,14,3,NA,"No Card",NA,NA,NA
"JB",40,"B1",6985,"C",4,TRUE,FALSE,5,0,8,3,8,"No",FALSE,4,3,NA,"No Card","Played defense but defense was kind bad",NA,NA
"ADK",40,"B2",1533,"C",1,FALSE,FALSE,7,2,2,0,3,"No",FALSE,15,2,NA,"No Card","Jammed early on and didn41391t provide much support after",NA,NA
"the real bAD man.",40,"B3",2054,"F",6,TRUE,FALSE,10,0,6,5,1,"No",FALSE,16,3,NA,"No Card",NA,NA,NA
"FeeSH-E",40,"R1",4020,"F",34,TRUE,FALSE,20,8,0,3,2,"No",FALSE,NA,1,NA,"No Card","Fish",NA,NA
"LJ",40,"R2",1756,"M",41,FALSE,FALSE,2,6,10,4,4,"No",FALSE,136,4,NA,"No Card","Full field passing, robot clipped blue trench once but forced way through. Pass on the move but no good SOTM.",NA,NA
"KO",40,"R3",7769,"C",56,TRUE,FALSE,17,6,3,7,7,"No",FALSE,1,4,NA,"No Card",NA,NA,NA
"JB",41,"B1",6487,"M",NA,FALSE,FALSE,0,0,0,0,0,"No",FALSE,NA,1,"5","No Card",".",NA,NA
"ADK",41,"B2",11244,"F",5,FALSE,FALSE,1,0,2,0,0,"No",FALSE,NA,1,NA,"No Card","Could not shoot, slow adaptation, ok defense",NA,NA
"the real bAD man.",41,"B3",1391,"C",34,TRUE,FALSE,20,4,2,7,0,"No",FALSE,126,4,NA,"No Card","UwU",NA,NA
"FeeSH-E",41,"R1",3243,"F",NA,FALSE,FALSE,0,8,0,2,3,"No",FALSE,16,2,NA,"No Card","Fish",NA,NA
"LJ",41,"R2",3501,"M",4,TRUE,FALSE,11,0,8,5,1,"No",FALSE,16,4,NA,"No Card","Steady cycler from mid to far range. Spent most of active period cleaning up AZ, a lot of passing was from close to AZ.",NA,NA
"RY",41,"R3",1768,"C",5,TRUE,FALSE,20,9,3,12,0,"No",FALSE,16,4,NA,"No Card","Got defended but worked around it. Really good dumper, fast bps. Constantly passing during inactive",NA,NA
"JB",42,"B1",9572,"M",3,FALSE,FALSE,3,7,0,6,7,"No",FALSE,61,4,NA,"No Card","Idk driving was good",NA,NA
"ADK",42,"B2",2491,"F",6,TRUE,FALSE,9,0,11,4,3,"No",FALSE,14,2,NA,"No Card",NA,NA,NA
"the real bAD man.",42,"B3",2635,"M",NA,FALSE,FALSE,1,0,2,1,3,"No",FALSE,NA,2,"6","No Card","Kind of just sat in AZ",NA,NA
"FeeSH-E",42,"R1",2231,"F",4,FALSE,FALSE,15,5,3,7,2,"No",FALSE,1,1,NA,"No Card","Very fish",NA,NA
"LJ",42,"R2",4469,"C",5,TRUE,FALSE,12,10,10,5,7,"No",FALSE,136,5,NA,"No Card","First auto swipe got a tech foul for crossing center line, passed from close to AZ. Short from mid close range and spent most of active cycling. Only stole once.",NA,NA
"FL",42,"R3",5577,"M",NA,FALSE,FALSE,6,6,0,0,5,"No",FALSE,4,3,NA,"No Card","1 major and not that great of defense",NA,NA
"JB",43,"B1",2393,"M",NA,FALSE,FALSE,5,3,1,1,7,"No",FALSE,1,2,NA,"No Card","Bad passing shooter was like. Rome or something, slow shooter",NA,NA
"ADK",43,"B2",4087,"M",3,FALSE,FALSE,12,5,3,0,0,"No",FALSE,54,4,NA,"No Card","Good defense",NA,NA
"the real bAD man.",43,"B3",364,"F",5,FALSE,FALSE,15,13,3,5,4,"No",FALSE,136,4,NA,"No Card","Agitation with hopper retraction is not that good, slowed down bps",NA,NA
"FeeSH-E",43,"R1",11214,"M",NA,FALSE,FALSE,0,4,1,1,7,"No",FALSE,2,3,NA,"No Card","Not very fish",NA,NA
"LJ",43,"R2",1816,"F",3,FALSE,FALSE,9,5,2,3,7,"No",FALSE,136,4,NA,"No Card","Some full field passing, some pass on the move, intake struggled to fill hopper fully.  Occasionally undershot,",NA,NA
"FL",43,"R3",1023,"C",5,FALSE,FALSE,12,4,4,5,2,"No",FALSE,526,4,NA,"No Card","Did okay slow shooter and got defended kinda easily",NA,NA
"JB",44,"B1",7840,"F",5,FALSE,FALSE,12,8,0,6,7,"No",FALSE,1,3,NA,"No Card","Shooter broke in end game, didn41391t shoot for 30 sec",NA,NA
"ADK",44,"B2",6201,"M",1,FALSE,FALSE,5,2,2,0,0,"No",FALSE,4,2,NA,"No Card",NA,NA,NA
"the real bAD man.",44,"B3",3753,"C",3,FALSE,FALSE,10,8,0,6,5,"No",FALSE,613,4,NA,"No Card",NA,NA,NA
"FeeSH-E",44,"R1",7183,"M",NA,FALSE,FALSE,0,6,0,2,2,"No",FALSE,NA,2,NA,"No Card","Fish",NA,NA
"LJ",44,"R2",8229,"C",5,TRUE,FALSE,18,5,5,5,8,"No",FALSE,163,4,NA,"No Card","Tendency to look for fuel in AZ first, floundered a little bit before going to cycle when starved. Lots of tower shots towards end of match after they overshot an entire cycle. Passed from middle of NZ ish",NA,NA
"FL",44,"R3",7915,"F",3,TRUE,FALSE,8,6,3,1,7,"No",FALSE,156,2,NA,"No Card","Kinda scooting around",NA,NA
"JB",45,"B1",2468,"C",3,TRUE,FALSE,18,9,2,9,8,"No",FALSE,36,4,NA,"No Card",NA,NA,NA
"ADK",45,"B2",10991,NA,NA,FALSE,FALSE,0,3,0,1,7,"No",FALSE,1,2,NA,"No Card","Shoot preload in auto",NA,NA
"the real bAD man.",45,"B3",3544,"F",5,FALSE,FALSE,9,14,1,4,0,"No",FALSE,263,3,NA,"No Card","Died briefly then came back",NA,NA
"FeeSH-E",45,"R1",2582,"M",1,FALSE,FALSE,10,5,2,1,8,"No",FALSE,NA,2,NA,"No Card","Not very fish",NA,NA
"LJ",45,"R2",5913,"F",3,TRUE,FALSE,19,5,5,5,1,"No",FALSE,1326,5,NA,"No Card","Intake broke with about 30 seconds left, played some tough NZ defense for like 5 seconds. Can pass from middle of NZ, flexible in cycling or cleaning up AZ.",NA,NA
"FL is mean",45,"R3",614,"C",6,TRUE,FALSE,9,0,1,2,8,"L1",TRUE,4,3,NA,"No Card","Driver smashed intake so they played d",NA,NA
"JB",46,"B1",6429,"M",NA,FALSE,FALSE,0,8,1,0,0,"No",FALSE,452,3,NA,"No Card","Shooter no work, perms defense and herding, defense was average",NA,NA
"ADK",46,"B2",111,"C",4,TRUE,FALSE,13,0,10,6,3,"No",FALSE,16,3,NA,"No Card",NA,NA,NA
"the real bAD man.",46,"B3",4450,"F",5,FALSE,FALSE,16,3,3,4,3,"No",FALSE,126,4,NA,"No Card","Had some connectivity issues, kept disconnected and reconnected mid match",NA,NA
"RY",46,"R1",484,"C",5,TRUE,FALSE,19,7,2,8,0,"No",FALSE,12,4,NA,"No Card","Has this technique during teleop where they go out to neutral. very shortly by trenc.  and does a trenchshot rightafter. They repeat it like six times during one period.",NA,NA
"Rs",46,"R2",7415,"M",41,TRUE,FALSE,9,0,8,5,5,"No",FALSE,6,3,NA,"No Card","Tipsy but didn41391t fall.",NA,NA
"FL is mean",46,"R3",51,"F",3,FALSE,FALSE,5,1,0,3,7,"No",FALSE,NA,4,NA,"No Card","Hopper got caught on trench and broke intake and hopper",NA,NA
"JB",47,"B1",6665,"M",NA,FALSE,FALSE,0,6,2,0,0,"No",FALSE,54,3,NA,"No Card","Defense entire time",NA,NA
"ADK",47,"B2",3082,"M",NA,FALSE,FALSE,0,7,0,0,0,"No",FALSE,45,3,NA,"No Card","Did not intake nor shoot a single ball",NA,NA
"the real bAD man.",47,"B3",2556,"F",56,TRUE,FALSE,10,3,4,7,5,"No",FALSE,6,4,NA,"No Card","Died on bump, came back",NA,NA
"RY",47,"R1",3931,"C",5,TRUE,FALSE,12,5,1,5,7,"No",FALSE,16,5,NA,"No Card","Nothing wrong",NA,NA
"Rs",47,"R2",4655,"F",34,TRUE,FALSE,10,4,3,5,4,"No",FALSE,1,4,NA,"No Card","Broken intake.",NA,NA
"FL",47,"R3",2813,"M",NA,FALSE,FALSE,0,4,2,0,2,"No",FALSE,5,4,NA,"No Card","Kinda mogged. 3082 with def very good def overall but barely scored at all",NA,NA
"JB",48,"B1",1690,"C",3,TRUE,FALSE,18,5,2,8,8,"No",FALSE,1356,5,NA,"No Card","Orbit is orbit",NA,NA
"BH",48,"B2",11417,"M",NA,FALSE,FALSE,3,1,2,0,2,"No",FALSE,4,2,NA,"No Card","Played D",NA,NA
"the real bAD man.",48,"B3",449,"F",56,TRUE,FALSE,0,1,1,0,0,"No",FALSE,25,4,NA,"No Card","Did not expand hopper",NA,NA
"RY",48,"R1",6911,"F",3,FALSE,FALSE,10,10,0,3,6,"No",FALSE,NA,4,NA,"No Card","Solid",NA,NA
"Rs",48,"R2",10034,"M",1,FALSE,FALSE,3,0,4,3,2,"No",FALSE,NA,2,"7","No Card",NA,NA,NA
"FL",48,"R3",5181,"C",5,TRUE,FALSE,9,1,1,0,0,"No",FALSE,413,3,NA,"No Card","Kind of ineffective def but yknow its orbit soooo",NA,NA
"MC",49,"B1",4766,"F",NA,FALSE,FALSE,10,3,3,6,3,"No",FALSE,26,4,NA,"No Card","Bps about same as us",NA,NA
"ADK",49,"B2",9496,"C",5,TRUE,FALSE,20,3,11,6,2,"No",FALSE,46,2,NA,"No Card",NA,NA,NA
"the real bAD man.",49,"B3",2590,"C",34,TRUE,FALSE,10,3,7,5,4,"No",FALSE,62,4,NA,"No Card",NA,NA,NA
"FeeSH-E",49,"R2",4322,"C",5,FALSE,FALSE,0,10,0,2,0,"No",FALSE,NA,1,"2","No Card","Not so fish",NA,NA
"FL",49,"R3",8858,"M",12,FALSE,FALSE,7,7,1,3,6,"No",FALSE,31,3,NA,"No Card","Did some alright defense but kind of mid",NA,NA
NA,49,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA
"MC",50,"B1",4125,"C",5,FALSE,FALSE,4,3,2,0,0,"No",FALSE,4,3,NA,"No Card","Played defense",NA,NA
"ADK",50,"B2",5705,"M",NA,FALSE,FALSE,0,4,0,1,2,"No",FALSE,NA,1,NA,"No Card","Low accuracy, slow driving and shooting",NA,NA
"the real bAD man.",50,"B3",931,"M",NA,FALSE,FALSE,5,0,8,3,8,"No",FALSE,6,3,NA,"No Card","Climbed in auto",NA,NA
"RY",50,"R1",11242,NA,NA,FALSE,FALSE,0,0,4,0,0,"No",FALSE,2,1,NA,"No Card","Broken auto, had trouble moving, couldn41391t intake",NA,NA
"FL",50,"R3",4607,"C",5,FALSE,FALSE,9,13,3,6,2,"No",FALSE,4632,4,NA,"No Card","Effective defense good scoring as well",NA,NA
"NS",51,"B1",1816,"F",1,FALSE,FALSE,5,3,1,3,0,"No",FALSE,NA,3,NA,"No Card","Began moving very slowly, diddled around in AZ for the rest of the match",NA,NA
"ADK",51,"B2",6985,"C",4,TRUE,FALSE,3,0,8,1,2,"No",FALSE,4,1,"2","No Card","Ineffective defense, slow shooting speed",NA,NA
"the real bAD man.",51,"B3",4020,"F",5,FALSE,FALSE,10,4,8,7,3,"No",FALSE,216,4,NA,"No Card","Mr reaaaalll bad man",NA,NA
"RY",51,"R1",16,"M",NA,FALSE,FALSE,0,5,7,5,4,"No",FALSE,1,3,NA,"No Card","No auto",NA,NA
"CR",51,"R2",3937,"F",34,TRUE,FALSE,15,7,3,5,0,"No",FALSE,31,4,NA,"No Card","Shoot on the move while intaking",NA,NA
"BP",51,"R3",5895,"C",5,TRUE,FALSE,16,6,6,5,3,"No",FALSE,61,2,"3","No Card",NA,NA,NA
"NS",52,"B1",11214,"M",NA,FALSE,FALSE,4,5,0,0,6,"No",FALSE,42,2,NA,"No Card","Rammed the other opponents",NA,NA
"ADK",52,"B2",9572,"M",3,TRUE,FALSE,18,7,7,6,2,"No",FALSE,16,2,NA,"No Card","Didn41391t react well to defense, drive ok otherwise",NA,NA
"the real bAD man.",52,"B3",7769,"F",56,TRUE,FALSE,20,6,6,6,0,"No",FALSE,2136,5,NA,"No Card",NA,NA,NA
"RY",52,"R1",6528,"M",NA,FALSE,FALSE,0,2,0,0,0,"No",FALSE,4,1,"1","No Card","No intake ability and no auto",NA,NA
"CR",52,"R2",1403,"C",5,FALSE,FALSE,12,6,4,4,0,"No",FALSE,13,4,NA,"No Card","N/A",NA,NA
"BP",52,"R3",1768,"F",3,TRUE,FALSE,20,7,3,8,5,"No",FALSE,136,5,NA,"No Card","Insane bps, hopper gone in an instant",NA,NA
"NS",53,"B1",4469,"F",5,TRUE,FALSE,20,4,2,7,0,"No",FALSE,6,3,NA,"No Card",NA,NA,NA
"ADK",53,"B2",3544,"C",3,FALSE,FALSE,2,3,0,0,5,"No",FALSE,54,3,"6","No Card","Tried defense",NA,NA
"the real bAD man.",53,"B3",8069,"M",NA,FALSE,FALSE,2,6,2,2,2,"No",FALSE,346,4,NA,"No Card","the REAALLLLL bad man is back at it",NA,NA
"LJ",53,"R1",2054,"C",62,TRUE,FALSE,12,0,4,1,6,"No",FALSE,16,3,"1","No Card","Stopped moving from 45 seconds to about 15 seconds, RSL still on. Pass while moving from anywhere in NZ and slow SOTM cleaning up corner. Probably has single digit bps",NA,NA
"CR",53,"R2",7183,"M",NA,FALSE,FALSE,0,11,1,4,0,"No",FALSE,NA,2,NA,"No Card","They constantly got in the way of their teamates",NA,NA
"BP",53,"R3",3501,"F",4,TRUE,FALSE,8,0,6,4,6,"No",FALSE,16,2,"34","No Card","Easily defendable on bump",NA,NA
"AM & ADK",54,"B2",2231,"F",51,TRUE,FALSE,6,3,3,3,8,"No",FALSE,261,4,NA,"No Card","Shoot on fly & phenomenal auto",NA,NA
"the real bAD man.",54,"B3",6201,"M",1,FALSE,FALSE,7,3,2,0,0,"No",FALSE,4,4,NA,"No Card","Really good Oz defense",NA,NA
"LJ",54,"R1",2468,"F",3,TRUE,FALSE,10,13,1,5,4,"No",FALSE,136,5,NA,"No Card","Auto was short returning to NZ over bump. Full field passing. and passing from NZ, cached lots of fuel for end game. Maybehad battery issues in last five seconds. Also lots of trench shots in response to defense, got at evading.",NA,NA
"CR",54,"R2",484,"C",56,TRUE,FALSE,5,3,3,4,0,"No",FALSE,1,3,NA,"No Card","Low bps",NA,NA
"BP",54,"R3",7840,"M",NA,FALSE,FALSE,2,4,0,0,0,"No",FALSE,213,2,NA,"No Card","Good feeding and herding",NA,NA
"ADK",55,"B2",7915,"M",3,TRUE,FALSE,4,1,10,3,7,"No",FALSE,6,2,"2","No Card","Slow intake, ineffective during inactive",NA,NA
"the real bAD man.",55,"B3",4450,"F",5,FALSE,FALSE,16,5,3,3,8,"No",FALSE,621,4,NA,"No Card","In this. match and the last match, shooter seemedinconsistent when around 1/2. capacity",NA,NA
"LJ",55,"R1",2813,"F",3,TRUE,FALSE,20,5,3,7,8,"No",FALSE,16,4,NA,"No Card","Struggled heavily against defense, lots of missed hoppers from ramming and being turned. Still fit under trench when overfilled.",NA,NA
"CR",55,"R2",1023,"C",5,FALSE,FALSE,1,3,2,4,0,"No",FALSE,1,4,NA,"No Card","N/A",NA,NA
