"scout","match","robot","team","start_pos","auto_type","auto_bump","auto_climb","auto_cycles","teleop_trench","teleop_bump","num_cycles","num_cycles_tenths","endgame_climb","climb_less_than_5","inactive_strat","driver_rating","problems","card","comments","auto_climb.1","endgame_climb.1"
"AD",16,"B1",6665,"M",NA,FALSE,FALSE,1,2,0,0,0,"No",FALSE,4,3,NA,"No Card","Intake broken? Didn41391t intake or shoot",NA,NA
"BP",16,"B2",7183,"C",3,TRUE,FALSE,10,9,5,5,7,"No",FALSE,163,5,NA,"No Card","Driver seemed to always have an optimal path, unexpected unload speed from a double lane",NA,NA
"KO",16,"B3",1391,"F",6,TRUE,FALSE,15,6,2,4,2,"No",FALSE,6,3,"6","No Card",NA,NA,NA
"FL",16,"R1",364,"M",2,FALSE,FALSE,1,3,0,1,1,"No",FALSE,2,1,"1","No Card","Died halfway",NA,NA
"HR",16,"R2",1023,"F",3,FALSE,FALSE,11,9,5,5,0,"No",FALSE,1236,4,NA,"No Card","Their auto does not shoot all the balls in their hopper",NA,NA
"CR",16,"R3",6985,"C",6,TRUE,FALSE,10,0,12,3,0,"No",FALSE,423,2,NA,"No Card","N/A",NA,NA
"AD",17,"B1",5705,"C",NA,FALSE,FALSE,0,11,0,0,0,"No",FALSE,2,1,"6","No Card","Did it do anything, no intake working",NA,NA
"BP",17,"B2",11214,"M",NA,FALSE,FALSE,2,7,3,0,8,"No",FALSE,6,1,NA,"No Card","Why are we. cycling with Kitbot? Low bps and capacity,not even driver diffing",NA,NA
"KO",17,"B3",16,"F",NA,FALSE,FALSE,0,1,8,1,0,"No",FALSE,6,2,NA,"No Card","Intake roller fell off early match, did not have an auto",NA,NA
"MC",17,"R1",3082,"M",1,FALSE,FALSE,0,1,1,0,0,"No",FALSE,41,4,NA,"No Card","Got stuck on depot I think for first minute got pushed off the depot by teammate then did pretty good Oz defense and. passing from theOz to the other Oz",NA,NA
"HR",17,"R2",9496,"F",34,FALSE,FALSE,20,5,8,5,3,"No",FALSE,16,4,NA,"No Card","Intake got rammed",NA,NA
"CR",17,"R3",2468,"C",56,TRUE,FALSE,20,8,0,7,0,"No",FALSE,NA,4,NA,"No Card","Passing over bump is very inaccurate",NA,NA
"AD",18,"B1",7915,"C",3,TRUE,FALSE,15,12,6,6,0,"No",FALSE,26,3,NA,"No Card","Very very slow, but didn41391t look like they were browning",NA,NA
"BP",18,"B2",2231,"F",5,TRUE,FALSE,20,5,7,6,5,"No",FALSE,163,5,NA,"No Card","Good scoring and passing overall",NA,NA
"KO",18,"B3",6429,"M",NA,FALSE,FALSE,0,0,0,0,0,"No",FALSE,NA,1,"1","No Card",NA,NA,NA
"MC",18,"R1",3937,"F",2,FALSE,FALSE,9,8,0,5,3,"No",FALSE,156,4,NA,"No Card","Good turret",NA,NA
"HR",18,"R2",5653,"C",5,FALSE,FALSE,0,9,0,6,0,"No",FALSE,126,3,"7","No Card","Auto attempted to go from trench to neutral zone to bump, but got stuck in neutral zone",NA,NA
"CR",18,"R3",3243,"C",5,FALSE,FALSE,10,5,1,2,3,"No",FALSE,4326,4,NA,"No Card","N/A",NA,NA
"AD",19,"B1",6528,"M",1,FALSE,FALSE,7,7,3,5,2,"No",FALSE,NA,3,NA,"No Card","Weak drive. train, got pushed around really easily and",NA,NA
"BP",19,"B2",614,"F",6,TRUE,FALSE,10,0,10,1,8,"No",FALSE,452,3,"3","No Card","Intake broke",NA,NA
"SBS",19,"B3",51,"C",3,FALSE,FALSE,15,4,0,6,3,"No",FALSE,216,4,NA,"No Card",NA,NA,NA
"MC",19,"R1",3753,"F",3,FALSE,FALSE,6,8,0,6,7,"No",FALSE,236,4,NA,"No Card",NA,NA,NA
"HR",19,"R2",2054,"C",62,TRUE,FALSE,16,0,6,4,4,"No",FALSE,16,3,NA,"No Card","Slow bps",NA,NA
"CR",19,"R3",11417,"M",NA,FALSE,FALSE,0,8,0,0,3,"No",FALSE,4,4,NA,"No Card","Full defense the whole time",NA,NA
"AD",20,"B1",1816,"F",5,FALSE,FALSE,15,6,2,3,5,"No",FALSE,61,2,NA,"No Card","Shooter motors weak/maybe browning, very poor accuracy",NA,NA
"AW",20,"B2",6201,"M",NA,FALSE,FALSE,2,5,5,0,0,"No",FALSE,45,3,NA,"No Card","Played some pretty okay defense. There was awhile where it looked like they weren41391t doing much, but they had a few. goodmoments",NA,NA
"SBS",20,"B3",4655,"C",34,FALSE,FALSE,17,13,0,5,9,"No",FALSE,136,4,NA,"No Card",NA,NA,NA
"AZ",20,"R1",4766,"C",5,FALSE,FALSE,6,8,4,4,5,"No",FALSE,2,4,NA,"No Card","Attempted climb both times was unsuccessful in both",NA,NA
"HR",20,"R2",1768,"F",34,TRUE,FALSE,20,6,4,7,0,"No",FALSE,61,5,NA,"No Card","Very good bps, their auto is basically just. ours, theywere defended for a bit",NA,NA
"CR",20,"R3",2635,"M",NA,FALSE,FALSE,0,0,1,0,0,"No",FALSE,1,2,NA,"No Card","Bulldozed the entire time",NA,NA
"AD",21,"B1",3931,"C",56,TRUE,FALSE,10,8,2,6,4,"No",FALSE,1263,4,NA,"No Card","Got stuck on bump",NA,NA
"AW",21,"B2",7769,"F",5,FALSE,FALSE,10,4,7,5,5,"No",FALSE,16,4,NA,"No Card","Really fast shooting",NA,NA
"SBS",21,"B3",1506,"M",1,FALSE,FALSE,4,6,6,7,2,"No",FALSE,136,5,NA,"No Card",NA,NA,NA
"AZ",21,"R1",8159,"M",1,FALSE,FALSE,3,12,0,3,0,"No",FALSE,465,4,NA,"No Card","Not orbit",NA,NA
"HR",21,"R2",5895,"C",56,FALSE,FALSE,20,5,5,6,0,"No",FALSE,61,4,NA,"No Card",NA,NA,NA
"CR",21,"R3",1690,"F",34,TRUE,FALSE,20,12,5,11,0,"No",FALSE,316,5,NA,"No Card","Lots of cycles",NA,NA
"AD",22,"B1",4125,"M",NA,FALSE,FALSE,0,0,6,0,0,"No",FALSE,4,3,"2","No Card","Shooter not working, tried to pass. and shooter failed toengage",NA,NA
"AW",22,"B2",1403,"C",3,FALSE,FALSE,15,6,2,5,0,"No",FALSE,613,3,NA,"No Card","Accuracy isn41391t very good, and their shooting isn41391t very fast either",NA,NA
"SBS",22,"B3",8229,"F",56,FALSE,FALSE,10,6,4,7,6,"No",FALSE,31,4,NA,"No Card","High bps",NA,NA
