team,match_key,auto_fuel_pre_epa,tele_fuel_pre_epa,auto_fuel_recent_epa,tele_fuel_recent_epa
2199,2026chcmp_qm4,24.39,106.35,23.78,101.15
2231,2026gal_qm9,47.18,178.59,58.94,182.11
2363,2026vaale_qm4,11.83,43.18,6.86,31.6
2377,2026chcmp_qm9,7.46,45.19,8.45,49.24
2393,2026gal_qm6,17.71,74.5,24.07,93.83
2421,2026chcmp_qm7,4.89,17.73,10.02,19.61
2468,2026gal_qm5,22.35,146.95,38.14,175.38
2491,2026gal_qm1,18.48,114.56,30.82,156.93
2534,2026vaale_qm6,9.33,34.08,3.03,7.72
2537,2026chcmp_qm4,26.84,72.1,19.68,68.87
2556,2026gal_qm5,17.21,90.09,24.88,93.41
2582,2026gal_qm2,17.37,131.49,24.4,116.84
2590,2026gal_qm10,29.01,99.29,35.34,99.08
2635,2026gal_qm3,9.1,36.55,11.22,18.56
2813,2026gal_qm2,27.62,147.82,37.91,160.43
2890,2026chcmp_qm2,6.42,43.44,9.02,55.85
2900,2026mdbet_qm3,6.99,6.25,11.21,20.53
2912,2026mdbet_qm6,0,0,2.99,-5.25
2914,2026mdbet_qm5,6.38,23.28,6.66,16.22
2963,2026vaale_qm6,4.7,17.15,4.28,7.97
2988,2026mdbet_qm5,5.48,15.96,5.67,14.65
3082,2026gal_qm7,8.9,52.27,6.44,23.28
3136,2026chcmp_qm9,11.9,56.49,13.92,94.7
3243,2026gal_qm9,12.18,73.74,23.63,98.79
3258,2026chcmp_qm2,11.25,32.3,12.16,30.53
3359,2026vaale_qm7,7.33,26.74,2.65,10.1
3361,2026chcmp_qm4,8.83,24.23,10.34,23.03
3373,2026mdbet_qm2,3.97,38.89,5.87,40.88
3501,2026gal_qm6,17.31,118.54,21.93,142.47
3544,2026gal_qm12,14.76,84.72,12.05,81.4
3714,2026mdbet_qm3,5.39,19.69,6.05,27.99
3748,2026chcmp_qm2,16.41,64.88,13.74,72.88
3753,2026gal_qm7,12.81,79.81,17.77,96.75
3931,2026gal_qm4,29.62,75.34,29.84,107.9
3937,2026gal_qm6,21.08,137.83,33.3,159.28
3939,2026chcmp_qm6,9.3,44.24,8.49,48.79
4020,2026gal_qm7,37.77,129.65,40.4,125.84
4087,2026gal_qm12,25.49,102.95,26.95,77.08
4099,2026chcmp_qm4,28.53,77.54,39.77,109.34
4125,2026gal_qm5,17.05,46.61,16.94,52.55
4322,2026gal_qm13,32.49,113.8,39.15,114.08
4450,2026gal_qm1,26.87,82.04,27.51,108.55
4456,2026mdbet_qm4,6.71,24.47,9.28,36.87
4464,2026mdbet_qm2,1.99,16.85,4.39,17.32
