team,auto_fuel,tele_fuel,auto_fuel_opr,tele_fuel_opr,auto_fuel_pre_epa,tele_fuel_pre_epa,auto_fuel_recent_epa,tele_fuel_recent_epa
10034,11.32,24.37,8.82,20.49,10.52,16.97,14.6,26.39
10224,10.49,83.75,12.38,92.51,8.26,57.32,11.09,82.23
10449,1.45,3.6,0.72,-0.31,3.37,12.31,3.38,3.67
10679,10.89,34.24,13.73,32.12,5.97,18.74,9.32,43.47
10980,28.09,103.61,31.83,137.06,14.93,51.85,30.22,93.28
10991,19.41,17.04,22.78,-3.65,11.19,30.35,17.36,25.42
11211,2.53,20.18,1.36,19.04,5,18.23,3.05,21.39
11214,2.31,-14.19,-0.26,-23,3.05,2.69,1.88,-14.37
11242,8.45,53.27,5.22,56.71,8.81,44.99,9.73,46.24
11244,3.94,6.72,-1.95,-14.68,9.63,26.31,7.04,18.28
11318,12.56,44.2,13.56,35.76,11.84,48.2,12.82,44.06
11415,19.85,138.82,19.08,160.32,17.81,98.45,21.23,143.18
11417,14.05,29.46,18.76,10.74,4.62,29.62,11.4,37.42
11425,11.71,23.09,11.36,18.54,11.11,23.43,12.72,27.5
