scout,match,robot,team,start_pos,no_show,auto_type,auto_bump,auto_climb,auto_cycles,teleop_trench,teleop_bump,num_cycles,num_cycles_tenths,endgame_climb,climb_less_than_5,inactive_strat,driver_rating,died,solo_shooting,card,comments,problems
MY,15,R3,2068,M,FALSE,NA,FALSE,FALSE,4,7,0,1,0,No,FALSE,6,4,FALSE,FALSE,No Card,Indexer/shooting issues,0
NS,15,B3,9403,F,FALSE,NA,FALSE,FALSE,2,1,0,0,0,No,FALSE,2,2,FALSE,FALSE,No Card,"Tried to go under trench, too tall. Hopper cover fell off",0
AM,15,R1,1793,NA,TRUE,NA,FALSE,FALSE,0,0,0,0,0,No,FALSE,NA,1,FALSE,FALSE,No Card,NA,0
BP,15,B1,620,NA,TRUE,NA,FALSE,FALSE,0,0,0,0,0,No,FALSE,NA,1,FALSE,FALSE,No Card,NA,0
RY,15,R2,2186,F,FALSE,NA,FALSE,FALSE,0,4,0,0,5,No,FALSE,6,2,FALSE,FALSE,No Card,"Weak hopper, wobbling the entire time, unable to contain more than like seven fuel",0
NS,16,B3,9072,C,FALSE,3,FALSE,FALSE,13,6,2,4,4,No,FALSE,NA,5,TRUE,FALSE,No Card,Died at end.,0
CR,16,B2,2534,M,FALSE,NA,FALSE,FALSE,0,0,0,0,0,No,FALSE,NA,3,TRUE,FALSE,No Card,NA,0
MY,16,R3,122,M,FALSE,NA,FALSE,FALSE,0,0,13,2,3,No,FALSE,346,4,FALSE,TRUE,No Card,Loved the bump,0
RY,16,R2,526,F,FALSE,3,FALSE,FALSE,1,5,0,2,0,No,FALSE,6,3,FALSE,FALSE,No Card,Has to shift back and forth to shoot or else balls wo41391t reach shooter.,0
BP,16,B1,2890,F,FALSE,NA,FALSE,FALSE,0,0,3,1,3,L1,FALSE,26,3,FALSE,FALSE,No Card,Tried to trench but was too tall,0
AM,16,R1,3359,NA,TRUE,NA,FALSE,FALSE,0,0,0,0,0,No,FALSE,NA,1,FALSE,FALSE,No Card,NA,0
AM,17,R1,3258,F,FALSE,NA,FALSE,FALSE,10,0,6,2,0,No,FALSE,16,4,FALSE,FALSE,No Card,NA,0
BP2,17,R3,612,M,FALSE,3,FALSE,FALSE,1,0,4,1,7,No,FALSE,1,2,FALSE,FALSE,No Card,NA,0
FL,17,B3,2963,C,FALSE,NA,FALSE,FALSE,0,0,2,1,0,No,FALSE,1,1,FALSE,FALSE,No Card,Got beached twice. Could41391t intake anything,0
RY,17,R2,1908,C,FALSE,3,FALSE,FALSE,3,4,3,3,8,No,FALSE,64,3,FALSE,FALSE,No Card,Shot A LOT and greened a good amount,0
MF,17,B1,539,M,FALSE,NA,FALSE,FALSE,0,0,2,1,0,No,FALSE,6,1,FALSE,FALSE,No Card,Kept on ramming into the wall and trench,0
CC,17,B2,3136,F,FALSE,2,FALSE,FALSE,6,6,0,4,0,No,FALSE,2,3,FALSE,TRUE,No Card,NA,0
BP2,18,R3,5243,C,FALSE,NA,FALSE,FALSE,9,6,0,2,8,No,FALSE,6,3,FALSE,FALSE,No Card,"Tiny intake, moves rlly slow",0
RY,18,R2,116,F,TRUE,NA,FALSE,FALSE,0,0,0,0,0,No,FALSE,NA,1,FALSE,FALSE,No Card,NA,0
CC,18,B2,8230,F,FALSE,NA,FALSE,FALSE,1,4,0,3,0,No,FALSE,21,2,FALSE,FALSE,No Card,NA,0
MC,18,R1,5353,M,FALSE,NA,FALSE,FALSE,0,0,0,2,0,No,FALSE,NA,3,FALSE,FALSE,No Card,NA,0
BP,18,B1,4099,C,FALSE,3,TRUE,FALSE,10,4,0,1,6,No,FALSE,6,3,FALSE,FALSE,No Card,Their shooter seemed to have temporarily broken?,0
FL,18,B3,4472,M,FALSE,NA,FALSE,FALSE,4,5,0,2,2,No,FALSE,6,3,FALSE,TRUE,No Card,NA,0
BP2,19,R3,1885,F,FALSE,3,FALSE,FALSE,0,0,0,0,0,No,FALSE,NA,1,FALSE,FALSE,No Card,"Turret, stopped doing anything after auto",0
CR,19,R1,1885,F,FALSE,3,FALSE,FALSE,0,0,0,0,0,No,FALSE,NA,3,TRUE,FALSE,No Card,NA,0
CC,19,B2,5549,C,FALSE,3,FALSE,FALSE,10,6,0,2,0,No,FALSE,2,3,FALSE,TRUE,No Card,NA,0
BP,19,B1,5338,F,FALSE,NA,FALSE,FALSE,4,8,0,2,4,No,FALSE,643,3,FALSE,TRUE,No Card,NA,0
HR,19,R2,1731,C,FALSE,NA,FALSE,FALSE,0,2,3,3,0,No,FALSE,6,3,FALSE,FALSE,No Card,One of the turrets malfunctioned,0
FL,19,B3,1895,M,FALSE,NA,FALSE,FALSE,4,5,4,1,7,No,FALSE,3,3,FALSE,FALSE,No Card,Passer bot even during active?,0
CC,20,B2,2377,C,FALSE,1,FALSE,FALSE,5,2,0,4,4,No,FALSE,2,3,FALSE,TRUE,No Card,NA,0
BP2,20,R3,3373,C,FALSE,NA,FALSE,FALSE,0,0,4,3,8,No,FALSE,NA,3,FALSE,FALSE,No Card,NA,0
CR,20,R1,3373,C,FALSE,NA,FALSE,FALSE,0,0,5,1,0,No,FALSE,6,4,FALSE,FALSE,No Card,NA,0
HR,20,R2,611,F,FALSE,NA,FALSE,FALSE,0,0,4,0,7,No,FALSE,6,3,FALSE,FALSE,No Card,Intake jammed,0
BP,20,B1,449,C,FALSE,NA,FALSE,FALSE,0,5,0,2,4,No,FALSE,NA,5,FALSE,TRUE,No Card,Good shooting and defense,0
AW,20,B3,5587,M,FALSE,NA,FALSE,FALSE,5,3,0,1,5,No,FALSE,NA,3,FALSE,FALSE,No Card,Was behind the hub& out of sight for a bunch of the match (might have picked up more than I counted),0
CR,21,R1,3136,F,FALSE,3,FALSE,FALSE,9,6,0,4,7,No,FALSE,26,5,FALSE,FALSE,No Card,Flexible intake,0
BP,21,B1,539,C,FALSE,NA,FALSE,FALSE,0,0,6,1,0,F,FALSE,65,2,FALSE,FALSE,No Card,Got beached on the balls and bump. for some time,0
HR,21,R2,526,M,FALSE,NA,FALSE,FALSE,5,6,1,0,3,No,FALSE,25,3,FALSE,FALSE,No Card,Intake jammed,0
AW,21,B3,2068,F,FALSE,NA,FALSE,FALSE,0,10,0,3,0,No,FALSE,6,3,FALSE,FALSE,No Card,"Couldn41391t see its auto, so I don41391t know what it started with",0
CC,21,B2,2068,F,FALSE,NA,FALSE,FALSE,0,6,0,3,0,No,FALSE,2,3,FALSE,TRUE,No Card,NA,0
AM,21,R3,3136,F,FALSE,3,FALSE,FALSE,10,3,0,4,5,No,FALSE,26,5,FALSE,FALSE,No Card,NA,0
CC,22,B2,116,NA,TRUE,NA,FALSE,FALSE,0,0,0,0,0,No,FALSE,NA,1,FALSE,FALSE,No Card,NA,0
AM,22,R3,620,C,FALSE,NA,FALSE,FALSE,10,3,3,4,5,No,FALSE,426,5,FALSE,FALSE,No Card,NA,0
HR,22,R2,2028,F,FALSE,NA,FALSE,FALSE,10,0,6,3,3,No,FALSE,61,5,FALSE,FALSE,No Card,NA,0
CR,22,R1,620,C,FALSE,NA,FALSE,FALSE,4,9,4,3,0,No,FALSE,2364,5,FALSE,FALSE,No Card,Very fast and versatile,0
BP,22,B1,10449,M,FALSE,NA,FALSE,FALSE,2,0,0,0,0,No,FALSE,NA,1,FALSE,FALSE,No Card,Stayed in alliance zone and didn41391t shoot very well,0
KL,22,B3,10449,M,FALSE,3,FALSE,FALSE,6,0,0,0,0,No,FALSE,2,2,FALSE,FALSE,No Card,Was slow and didn41391t really do anything,0
BP,23,B1,1793,NA,TRUE,NA,FALSE,FALSE,0,0,0,0,0,No,FALSE,NA,1,FALSE,FALSE,No Card,NA,0
AM,23,R3,122,C,FALSE,NA,FALSE,FALSE,10,1,11,2,3,No,FALSE,246,5,FALSE,FALSE,No Card,NA,0
HR,23,R2,5549,F,FALSE,3,FALSE,FALSE,9,0,0,0,0,No,FALSE,NA,2,FALSE,FALSE,No Card,Got stuck in trench,0
KL,23,B3,1793,M,TRUE,NA,FALSE,FALSE,0,0,0,0,0,No,FALSE,NA,1,FALSE,FALSE,No Card,NA,0
CR,23,R1,122,C,FALSE,NA,FALSE,FALSE,3,3,9,2,0,No,FALSE,256,4,FALSE,FALSE,No Card,Unbeached themselves,0
AC,23,B2,5353,F,FALSE,3,FALSE,FALSE,5,3,0,5,6,No,FALSE,6,4,FALSE,TRUE,No Card,NA,0
AM,24,R3,2363,C,FALSE,3,FALSE,FALSE,0,14,0,4,7,No,FALSE,26,4,FALSE,FALSE,No Card,NA,0
BP,24,B1,611,M,FALSE,NA,FALSE,FALSE,0,0,0,0,0,No,FALSE,NA,1,TRUE,FALSE,No Card,NA,0
CC,24,B2,9072,C,FALSE,3,FALSE,FALSE,20,6,0,4,2,No,FALSE,NA,4,FALSE,TRUE,No Card,NA,0
CR,24,R1,2363,C,FALSE,NA,FALSE,FALSE,0,12,0,3,0,No,FALSE,26,4,FALSE,FALSE,No Card,NA,0
HR,24,R2,4099,F,FALSE,3,FALSE,FALSE,10,4,2,3,3,No,FALSE,6,4,FALSE,FALSE,No Card,Overshot a lot,0
MH,24,B3,449,C,FALSE,2,FALSE,FALSE,0,6,0,0,6,No,FALSE,264,4,FALSE,FALSE,No Card,"very effective no penalty defense, shooter broke?",0
CC,25,B2,3373,F,FALSE,NA,FALSE,FALSE,2,0,2,3,0,No,FALSE,NA,2,FALSE,TRUE,No Card,NA,0
AM,25,R3,1895,M,FALSE,NA,FALSE,FALSE,3,5,7,2,4,No,FALSE,26,5,FALSE,FALSE,No Card,NA,0
HR,25,R2,2534,C,FALSE,NA,FALSE,FALSE,0,3,0,0,1,No,FALSE,245,1,FALSE,FALSE,No Card,Intake failed,0
CR,25,R1,1895,M,FALSE,NA,FALSE,FALSE,0,5,7,3,0,No,FALSE,26,4,FALSE,FALSE,No Card,Easily goes over bump,0
BP,25,B1,5587,C,FALSE,NA,FALSE,FALSE,3,4,0,0,7,No,FALSE,26,1,FALSE,FALSE,No Card,Sat still in alliance zone for long periods of time,0
KO,25,B3,2988,M,FALSE,2,FALSE,FALSE,0,1,1,0,9,No,FALSE,2,1,FALSE,FALSE,No Card,Slow shooter,0
AM,26,R3,1731,C,FALSE,3,FALSE,FALSE,10,16,0,1,3,No,FALSE,NA,3,FALSE,FALSE,No Card,Double turret,0
SBS,26,R2,5353,M,FALSE,NA,FALSE,FALSE,4,8,0,5,5,No,FALSE,6,4,FALSE,FALSE,No Card,NA,0
MH,26,R1,9403,F,FALSE,NA,FALSE,FALSE,0,2,0,0,3,No,FALSE,2,3,FALSE,FALSE,No Card,intake no work,0
CC,26,B2,2377,C,FALSE,NA,FALSE,FALSE,13,4,0,2,4,No,FALSE,NA,4,FALSE,TRUE,No Card,NA,0
BP,26,B1,2890,F,FALSE,2,FALSE,TRUE,10,0,6,2,5,L1,FALSE,6,3,FALSE,FALSE,No Card,Shot accurately?,0
RY,26,B3,3258,M,FALSE,NA,FALSE,FALSE,8,0,3,3,3,No,FALSE,16,3,FALSE,FALSE,No Card,NA,0
