"","event","EPA_mse","key","pct_imp","lambda_opt","pridge_mse","rows"
"702","2022ilch",257.140849367089,"2022ilch",11.7227835235988,3.76376376376376,201.514815130129,702
"703","2022ilpe",306.4071,"2022ilpe",4.51784700115827,1.4014014014014,176.670525284541,703
"704","2022incol",200.359884166667,"2022incol",6.01203884969322,2.66266266266266,158.562773251636,704
"705","2022inkok",200.01655078125,"2022inkok",6.57871816266055,3.003003003003,164.949313459075,705
"706","2022inwla",258.804537179487,"2022inwla",5.63478820928247,2.32232232232232,155.32913663422,706
"707","2022isde1",328.267942857143,"2022isde1",7.21389136139631,3.38338338338338,261.076057507011,707
"708","2022isde2",272.033389285714,"2022isde2",7.71577178177947,3.68368368368368,215.56576754064,708
"709","2022isde3",537.26717037037,"2022isde3",5.92929979124085,2.62262262262262,349.191965862135,709
"710","2022isde4",223.047711206897,"2022isde4",13.0696565635697,8.00800800800801,192.420218548526,710
"711","2022ksla",319.674761607143,"2022ksla",3.73871059720693,1.38138138138138,173.835518195256,711
"712","2022lake",289.783483552632,"2022lake",6.0314112761509,2.02202202202202,164.235597090719,712
"713","2022mabos",204.632133783784,"2022mabos",12.4052694063964,6.88688688688689,180.268387553184,713
"714","2022macma",239.425225,"2022macma",6.8222670650509,3.04304304304304,166.91260534881,714
"715","2022marea",282.054866666667,"2022marea",6.29832376011115,2.72272272272272,204.775831135596,715
"716","2022mawne",230.484684027778,"2022mawne",6.28669735048223,2.74274274274274,172.588129010417,716
"717","2022mawor",237.952694871795,"2022mawor",9.4063656323125,4.62462462462462,191.812982922658,717
"718","2022melew",198.897249038462,"2022melew",3.77314997250683,1.56156156156156,132.385101438906,718
"719","2022mibel",213.891154487179,"2022mibel",5.71027312025675,2.4024024024024,141.00164956653,719
"720","2022midet",130.956562837838,"2022midet",6.77420168223925,3.003003003003,93.5262473641841,720
"721","2022miesc",141.935239473684,"2022miesc",9.25614114935911,4.74474474474474,122.973679289548,721
"722","2022mifor",181.324658823529,"2022mifor",4.34674788240543,1.72172172172172,126.741461186582,722
"723","2022migul",174.018946774194,"2022migul",9.82943056904213,5.12512512512513,157.170592562722,723
"724","2022mijac",265.267268125,"2022mijac",7.49543595949379,3.26326326326326,183.172978157866,724
"725","2022mike2",170.857968939394,"2022mike2",4.14027485487863,1.64164164164164,112.527227395104,725
"726","2022miken",205.872256060606,"2022miken",7.49884923732402,3.38338338338338,150.697382542519,726
"727","2022miket",174.81721,"2022miket",3.94874456743246,1.54154154154154,113.911060238589,727
"728","2022mikng",196.510320588235,"2022mikng",5.67186218965873,2.36236236236236,134.100369100179,728
"729","2022milak",227.168334848485,"2022milak",6.7891190603272,3.08308308308308,167.659355847475,729
"730","2022milan",211.017532638889,"2022milan",4.48225724321848,1.8018018018018,134.559558102634,730
"731","2022miliv",119.159664864865,"2022miliv",4.79314498997651,1.94194194194194,84.2997199193809,731
"732","2022mimcc",261.033234146341,"2022mimcc",10.6648615411583,5.56556556556557,221.77115636276,732
"733","2022mimid",144.409721875,"2022mimid",12.3014347775361,7.58758758758759,132.82057124483,733
"734","2022mimil",231.14488125,"2022mimil",11.1092593727055,6.24624624624625,222.317000107564,734
"735","2022mimus",148.099813815789,"2022mimus",9.068353724818,4.46446446446446,134.257259965061,735
"736","2022miroc",259.710947916667,"2022miroc",6.91657410103561,3.12312312312312,220.751678712421,736
"737","2022misal",188.833520625,"2022misal",5.92982703669774,2.52252252252252,142.459938495149,737
"738","2022misjo",118.145995967742,"2022misjo",5.665151919489,2.36236236236236,90.31996652657,738
"739","2022mitry",358.53295625,"2022mitry",6.04984310333248,2.5025025025025,236.51251189841,739
"740","2022mitvc",122.829650694444,"2022mitvc",8.77143921575128,4.32432432432432,99.3106841813405,740
"741","2022miwal",206.116062804878,"2022miwal",6.96735804167231,2.94294294294294,144.075704987486,741
"742","2022miwmi",200.384142361111,"2022miwmi",5.91607335702585,2.56256256256256,137.942816872539,742
"743","2022miwoo",119.309393292683,"2022miwoo",5.24295123718427,2.26226226226226,86.7967636805936,743
"744","2022mndu",184.319036206897,"2022mndu",19.4614325527231,6.06606606606607,170.640808741445,744
"745","2022mndu2",173.86534375,"2022mndu2",11.0100707567459,2.56256256256256,131.32052165992,745
"746","2022mnmi",286.957670652174,"2022mnmi",9.08510051100837,2.5025025025025,180.615115843667,746
"747","2022mnmi2",209.72332247191,"2022mnmi2",9.51498523620648,2.8028028028028,146.537791183116,747
"748","2022mokc",231.515676666667,"2022mokc",6.07788311637217,2.5025025025025,169.813021542713,748
"749","2022mosl",246.779299324324,"2022mosl",4.97918219921168,2.04204204204204,163.23104291169,749
"750","2022mxmo",175.838884328358,"2022mxmo",6.84617738482771,1.76176176176176,123.555416421372,750
"751","2022mxto",200.097017910448,"2022mxto",9.75882565843958,3.08308308308308,154.03436968116,751
"752","2022ncash",197.442336206897,"2022ncash",12.1042043126397,7.70770770770771,174.672761898664,752
"753","2022ncgre",136.740454545455,"2022ncgre",7.15731810292755,3.24324324324324,105.780757403911,753
"754","2022ncgui",231.716084677419,"2022ncgui",8.22588938541481,3.96396396396396,176.152740770589,754
"755","2022ncpem",301.622639705882,"2022ncpem",6.7189685094577,2.9029029029029,195.00452473247,755
"756","2022ndgf",232.017365853659,"2022ndgf",7.36751687610586,1.92192192192192,152.159652211981,756
"757","2022nhgrs",243.73837948718,"2022nhgrs",4.98164690567852,1.98198198198198,174.255827854843,757
"758","2022nhsea",204.8254975,"2022nhsea",10.0077591095748,4.84484484484484,159.39694479886,758
"759","2022njbri",171.635533333333,"2022njbri",4.11417998511552,1.6016016016016,110.539142432773,759
"760","2022njfla",168.084056081081,"2022njfla",10.5261190736383,5.96596596596597,152.651632369712,760
"761","2022njski",273.750549358974,"2022njski",6.24023378759555,2.54254254254254,149.115940075574,761
"762","2022njtab",236.977872058824,"2022njtab",6.12040329079191,2.62262262262262,149.649778415942,762
"763","2022nvlv",255.888469594595,"2022nvlv",10.3156299929067,3.22322322322322,188.927863233448,763
"764","2022nyli",244.907696153846,"2022nyli",6.12464555190973,2.66266266266266,183.574760118228,764
"765","2022nyli2",237.217239130435,"2022nyli2",9.81059804333472,2.96296296296296,155.445301885186,765
"766","2022nyny",232.048046875,"2022nyny",8.90677256883868,2.62262262262262,156.989584691849,766
"767","2022nyro",212.133150675676,"2022nyro",13.2779906072033,8.48848848848849,189.588090228769,767
"768","2022nytr",219.764215942029,"2022nytr",9.95338392410631,3.22322322322322,175.848094439065,768
"769","2022ohcl",221.653149438202,"2022ohcl",10.1383976001964,2.3023023023023,151.980905446757,769
"770","2022okok",178.322548611111,"2022okok",7.78936166419406,2.08208208208208,127.353537188617,770
"771","2022oktu",230.468588194444,"2022oktu",12.5574018925532,7.04704704704705,188.421830360225,771
"772","2022on034",172.82425,"2022on034",10.1661636238195,2.24224224224224,115.376605697527,772
"773","2022on204",273.280785416667,"2022on204",14.7096069282142,3.7037037037037,216.55099215774,773
"774","2022on263",239.987868518519,"2022on263",14.9962258460182,3.94394394394394,196.378013690728,774
"775","2022on273",284.425401724138,"2022on273",9.2358529006983,2.14214214214214,186.604965651912,775
"776","2022on305",243.725363043478,"2022on305",7.25962352259361,1.52152152152152,146.918012136564,776
"777","2022on306",133.532894230769,"2022on306",6.31181608809378,1.32132132132132,73.7147256628016,777
"778","2022on325",269.235264814815,"2022on325",8.80074517411024,1.82182182182182,169.513064940026,778
"779","2022on326",535.892046153846,"2022on326",4.36437534304022,0.840840840840841,184.735038274174,779
"780","2022on409",349.2875,"2022on409",16.0416833130371,4.58458458458458,274.494825353173,780
"781","2022on410",287.025196296296,"2022on410",15.9166773978752,4.64464464464464,236.112227469017,781
"782","2022orore",217.911136111111,"2022orore",5.0970405485735,2.14214214214214,167.275260725248,782
"783","2022orsal",295.564358035714,"2022orsal",6.68796022306716,2.72272272272272,169.921690978095,783
"784","2022orwil",218.02333125,"2022orwil",10.170611028784,5.62562562562563,194.590492492041,784
"785","2022paben",205.401847413793,"2022paben",4.98313222429512,2.002002002002,134.122308338602,785
"786","2022paca",188.249807471264,"2022paca",12.652123179346,6.04604604604605,178.056235024436,786
"787","2022pahat",185.70536,"2022pahat",10.0933444469038,5.22522522522523,170.872669031429,787
"788","2022paphi",262.629815178571,"2022paphi",4.86973845152691,2.02202202202202,178.193816298045,788
"789","2022qcmo1",144.265868,"2022qcmo1",11.1801228097552,3.38338338338338,130.481784221766,789
"790","2022qcmo2",114.575447916667,"2022qcmo2",23.0155125103925,8.72872872872873,106.818914395389,790
"791","2022qcmo3",111.892775,"2022qcmo3",20.1156845913081,7.30730730730731,109.777248068897,791
"792","2022scan",223.716912142857,"2022scan",5.26117958050263,1.68168168168168,153.519339865078,792
"793","2022tant",159.148210169492,"2022tant",10.1654780985703,3.44344344344344,127.674835477197,793
"794","2022tnkn",257.524693037975,"2022tnkn",8.21345830200296,3.003003003003,190.630607360963,794
"795","2022tuis",136.39054921875,"2022tuis",14.9343562437535,2.66266266266266,98.8361868032484,795
"796","2022tuis2",170.04415,"2022tuis2",20.0650239655744,4.66466466466466,139.607321108401,796
"797","2022tuis3",186.725877192982,"2022tuis3",3.40619892525697,1.04104104104104,105.009420317015,797
"798","2022txama",141.076265178571,"2022txama",6.04244119497526,2.62262262262262,103.863072441149,798
"799","2022txaus",194.3906875,"2022txaus",6.95782072348965,3.12312312312312,141.623718202376,799
"800","2022txcha",161.04137109375,"2022txcha",6.21307418493436,2.74274274274274,127.901965402028,800
"801","2022txdri",186.158304166667,"2022txdri",4.87410407757475,1.94194194194194,132.70130411008,801
"802","2022txfor",259.101030645161,"2022txfor",6.12037627225419,2.72272272272272,201.192543629534,802
"803","2022txirv",243.534797619048,"2022txirv",6.00619037282416,2.48248248248248,145.009692495969,803
"804","2022txpa2",152.0950796875,"2022txpa2",5.47866666903966,2.32232232232232,98.7709188112719,804
"805","2022txpas",181.7008546875,"2022txpas",9.58158644857137,4.96496496496496,151.03094011327,805
"806","2022txwac",260.16774375,"2022txwac",4.41992333902163,1.76176176176176,178.386198566067,806
"807","2022utwv",233.011509459459,"2022utwv",8.40250163944258,3.16316316316316,182.72009800239,807
"808","2022va305",260.821665,"2022va305",5.54632034128219,1.38138138138138,163.659152795796,808
"809","2022va306",99.5491537037037,"2022va306",7.49119761942885,2.08208208208208,87.2781462272011,809
"810","2022va319",306.325143103448,"2022va319",3.20394660079532,0.800800800800801,106.074665554557,810
"811","2022va320",320.685959375,"2022va320",7.83077477465688,2.2022022022022,192.916743534955,811
"812","2022waahs",232.509975833333,"2022waahs",5.57312437092433,2.38238238238238,166.175486810403,812
"813","2022wabon",248.366160483871,"2022wabon",5.5900174176086,2.38238238238238,177.435862952238,813
"814","2022wasam",269.248922580645,"2022wasam",5.65250742053941,2.32232232232232,180.46851589385,814
"815","2022wasno",251.322909090909,"2022wasno",9.05108197157901,4.8048048048048,223.147302795135,815
"816","2022wila",284.663872352941,"2022wila",6.11175573730011,2.02202202202202,171.808310977813,816
"817","2022wimi",270.3697875,"2022wimi",5.64136246802851,2.28228228228228,163.744911322655,817
"818","2023alhu",563.514510714286,"2023alhu",10.1205236115554,3.06306306306306,391.684761775686,818
"819","2023arli",404.560849137931,"2023arli",6.71172215929884,3.06306306306306,318.422507033616,819
"820","2023ausc",397.351994117647,"2023ausc",10.9515386813293,4.9049049049049,329.711921106805,820
"821","2023azgl",418.984635064935,"2023azgl",13.1693883062192,5.80580580580581,344.655251639146,821
"822","2023azva",436.108475,"2023azva",6.01038277302484,2.62262262262262,331.606977826411,822
"823","2023bcvi",445.377765714286,"2023bcvi",6.51760494045115,2.84284284284284,311.869711666221,823
"824","2023brbr",431.149932857143,"2023brbr",6.9629213285045,1.84184184184184,262.153573384037,824
"825","2023caav",552.010078472222,"2023caav",11.292093534147,6.14614614614615,446.274079486218,825
"826","2023cada",523.31928051948,"2023cada",12.1374795080482,3.98398398398398,360.080305370813,826
"827","2023cafr",406.904064473684,"2023cafr",6.42826611723679,2.76276276276276,310.802804541172,827
"828","2023cala",564.242581081081,"2023cala",7.54419067061103,2.04204204204204,323.5073113458,828
"829","2023camb",827.905085606061,"2023camb",9.29761161446265,3.52352352352352,549.492981771893,829
"830","2023caoc",513.324927848101,"2023caoc",7.98572445079436,2.3023023023023,355.012120516338,830
"831","2023caph",534.933144444444,"2023caph",12.980428218203,6.62662662662663,459.163593151136,831
"832","2023casd",590.681096,"2023casd",12.4115738553432,2.98298298298298,397.851930608818,832
"833","2023casf",539.316089285714,"2023casf",7.83142132864669,2.14214214214214,365.201371204288,833
"834","2023casj",584.411153932584,"2023casj",14.4330993024803,3.32332332332332,373.058680153066,834
"835","2023cave",388.06458115942,"2023cave",15.0964161057811,4.24424424424424,317.974222668065,835
"836","2023code",512.032594767442,"2023code",6.46193754465418,2.7027027027027,336.780577982821,836
"837","2023cthar",411.043404375,"2023cthar",5.5412554480707,2.3023023023023,242.153524644227,837
"838","2023ctwat",436.553657236842,"2023ctwat",8.28180469219998,3.98398398398398,356.695408658901,838
"839","2023flor",420.7111,"2023flor",6.825151950666,1.8018018018018,261.663540236925,839
"840","2023flta",375.351667105263,"2023flta",9.45015102884095,4.92492492492492,303.292329470809,840
"841","2023flwp",574.755051470588,"2023flwp",5.01346370881025,2.02202202202202,402.982437129832,841
"842","2023gacar",432.433770535714,"2023gacar",11.5461054622848,5.94594594594595,348.257129794498,842
"843","2023gadal",374.466318,"2023gadal",6.00254580888215,2.48248248248248,266.66625287435,843
"844","2023gagwi",410.572140740741,"2023gagwi",7.74440461323135,3.7037037037037,335.340719516721,844
"845","2023gamac",488.141819827586,"2023gamac",7.24956444070284,3.14314314314314,318.751504369554,845
"846","2023hiho",563.576824324324,"2023hiho",6.75052964367033,2.9029029029029,377.166628333652,846
"847","2023iacf",412.10725106383,"2023iacf",9.24692756799889,2.68268268268268,284.096717752523,847
"848","2023idbo",550.602864204545,"2023idbo",8.90803121369969,3.26326326326326,398.868462515737,848
"849","2023ilch",421.746615882353,"2023ilch",7.6530534829112,2.76276276276276,334.258358978578,849
"850","2023ilpe",411.07019921875,"2023ilpe",12.1511939075493,6.96696696696697,340.882524247338,850
"851","2023ingre",411.045515178571,"2023ingre",7.88059406658529,3.42342342342342,274.198644640487,851
"852","2023inmis",355.977865151515,"2023inmis",6.11641696431159,2.58258258258258,280.461536603999,852
"853","2023inpri",406.007104464286,"2023inpri",6.72365271154389,2.96296296296296,314.273839739283,853
"854","2023inwla",665.1128875,"2023inwla",5.91123755109739,2.52252252252252,416.571798615983,854
"855","2023isde1",372.038782,"2023isde1",8.66726241194494,4.44444444444444,315.605696210411,855
"856","2023isde2",924.714226724138,"2023isde2",15.5825685095689,14.014014014014,860.841555100653,856
"857","2023isde3",657.630186666667,"2023isde3",5.64790718710554,2.36236236236236,362.239604654538,857
