"","key","pct_imp","lambda_opt","address","city","country","end_date","event_code","event_type","event_type_string","first_event_code","first_event_id","gmaps_place_id","gmaps_url","lat","lng","location_name","name","parent_event_key","playoff_type","playoff_type_string","postal_code","short_name","start_date","state_prov","timezone","website","week","year","abbreviation","display_name","key2","pridge_mse"
"1096","2024paca",14.4667873587509,3.8038038038038,"David L. Lawrence Convention Center 1000 Fort Dequense Blvd","Pittsburgh","USA","2024-03-02","paca",0,"Regional","paca",NA,NA,NA,NA,NA,"David L. Lawrence Convention Center","Greater Pittsburgh Regional",NA,10,"Double Elimination Bracket (8 Alliances)","15222","Greater Pittsburgh","2024-02-28","PA","America/New_York","http://www.firstwcpa.org",0,2024,NA,NA,NA,167.53526005975
"1097","2024pahat",9.14917714161066,4.74474474474474,"899 Horsham Road","Horsham","USA","2024-03-03","pahat",1,"District","pahat",NA,NA,NA,NA,NA,"Hatboro-Horsham High School","FMA District Hatboro-Horsham Event",NA,10,"Double Elimination Bracket (8 Alliances)","19044","Hatboro-Horsham","2024-03-01","PA","America/New_York","http://www.midatlanticrobotics.com/",0,2024,"fma","FIRST Mid-Atlantic","2024fma",164.664170626022
"1098","2024paphi",6.28057453175356,2.76276276276276,"500 West Willow Grove Avenue","Philadelphia","USA","2024-03-17","paphi",1,"District","paphi",NA,NA,NA,NA,NA,"Springside Chestnut Hill Academy","FMA District Springside Chestnut Hill Event",NA,10,"Double Elimination Bracket (8 Alliances)","19118","Springside Chestnut Hill","2024-03-15","PA","America/New_York","http://www.midatlanticrobotics.com/",2,2024,"fma","FIRST Mid-Atlantic","2024fma",137.421742777062
"1099","2024qcmo",11.2555655271333,4.78478478478478,"1750, rue Sauriol Est","Montreal","Canada","2024-03-03","qcmo",0,"Regional","qcmo",NA,NA,NA,NA,NA,"Collège Regina Assumpta / Regina Assumpta High School","Festival de Robotique Regional",NA,10,"Double Elimination Bracket (8 Alliances)",NA,"Festival de Robotique","2024-03-01","QC","America/Toronto","http://robotiquefirstquebec.org/festival/",0,2024,NA,NA,NA,166.470410916548
"1100","2024rikin",8.20447766711886,4.2042042042042,"85 Keaney Rd","Kingston","USA","2024-03-16","rikin",1,"District","rikin",NA,NA,NA,NA,NA,"Keaney Gym","NE District URI Event",NA,10,"Double Elimination Bracket (8 Alliances)","02881","URI","2024-03-14","RI","America/New_York","https://www.nefirst.org/",2,2024,"ne","New England","2024ne",166.777879883473
"1101","2024scand",11.1106176752537,6.52652652652653,"3027 Martin Luther King, Jr. Blvd.","Anderson","USA","2024-03-09","scand",1,"District","scand",NA,NA,NA,NA,NA,"Civic Center of Anderson","PCH District Anderson Event presented by MAGNA",NA,10,"Double Elimination Bracket (8 Alliances)","29625","Anderson","2024-03-07","SC","America/New_York","http://firstsouthcarolina.org",1,2024,"pch","Peachtree","2024pch",157.63942238624
"1102","2024sccha",8.78495257725898,5.00500500500501,"5794 Casper Padgett Way","N. Charleston","USA","2024-03-23","sccha",1,"District","sccha",NA,NA,NA,NA,NA,"The City of North Charleston Athletic Center","PCH District Charleston Event presented by South Carolina Department of Education",NA,10,"Double Elimination Bracket (8 Alliances)","29406","Charleston","2024-03-21","SC","America/New_York","http://firstsouthcarolina.org",3,2024,"pch","Peachtree","2024pch",159.539975779033
"1103","2024tnkn",9.8581109524883,4.46446446446446,"500 Howard Baker Jr. Ave","Knoxville","USA","2024-03-06","tnkn",0,"Regional","tnkn",NA,NA,NA,NA,NA,"Knoxville Civic Auditorium","Smoky Mountains Regional",NA,10,"Double Elimination Bracket (8 Alliances)","37915","Smoky Mountains","2024-03-03","TN","America/New_York","https://www.tnfirst.org/",0,2024,NA,NA,NA,166.742873476721
"1104","2024tuhc",12.7603075396535,2.96296296296296,"Huzur Mh., Maslak Ayazağa Cd. 4/A","Sarıyer","Türkiye","2024-03-21","tuhc",0,"Regional","tuhc",NA,NA,NA,NA,NA,"Volkswagen Arena","Haliç Regional",NA,10,"Double Elimination Bracket (8 Alliances)","34396","Haliç","2024-03-19","34","Europe/Istanbul","http://www.fikretyukselfoundation.org/",3,2024,NA,NA,NA,228.989291733498
"1105","2024tuis",11.2307333912557,2.54254254254254,"Huzur Mh., Maslak Ayazağa Cd. 4/A","Sarıyer","Türkiye","2024-03-07","tuis",0,"Regional","tuis",NA,NA,NA,NA,NA,"Volkswagen Arena","İstanbul Regional",NA,10,"Double Elimination Bracket (8 Alliances)","34396","İstanbul","2024-03-05","34","Europe/Istanbul","http://www.fikretyukselfoundation.org/",1,2024,NA,NA,NA,191.634488065093
